date;National disability insurance scheme;Comedy films;Channing Tatum;gloucestershire;air travel;isPartial
2022-01-02;0;7;24;81;18;False
2022-01-09;0;7;17;83;21;False
2022-01-16;0;6;11;73;15;False
2022-01-23;0;6;14;77;17;False
2022-01-30;0;6;19;77;19;False
2022-02-06;0;5;20;74;19;False
2022-02-13;0;6;43;97;19;False
2022-02-20;0;6;28;73;20;False
2022-02-27;0;5;23;78;17;False
2022-03-06;0;6;23;77;18;False
2022-03-13;0;5;19;71;18;False
2022-03-20;0;5;22;75;18;False
2022-03-27;0;6;27;72;19;False
2022-04-03;0;6;27;76;17;False
2022-04-10;0;7;33;74;15;False
2022-04-17;0;6;26;70;16;False
2022-04-24;0;5;18;69;17;False
2022-05-01;0;6;24;74;17;False
2022-05-08;0;4;18;71;18;False
2022-05-15;0;5;19;73;19;False
2022-05-22;0;5;19;73;18;False
2022-05-29;0;5;14;75;18;False
2022-06-05;0;4;11;74;20;False
2022-06-12;0;5;11;78;18;False
2022-06-19;0;5;10;73;16;False
2022-06-26;0;5;10;75;17;False
2022-07-03;0;4;12;73;18;False
2022-07-10;0;4;14;79;19;False
2022-07-17;0;5;13;80;18;False
2022-07-24;0;6;13;79;18;False
2022-07-31;0;5;12;78;16;False
2022-08-07;0;5;11;80;16;False
2022-08-14;0;6;12;72;15;False
2022-08-21;0;5;17;73;13;False
2022-08-28;0;6;16;74;15;False
2022-09-04;0;6;13;74;16;False
2022-09-11;0;5;11;75;14;False
2022-09-18;0;6;11;69;14;False
2022-09-25;0;5;8;67;14;False
2022-10-02;0;7;8;68;13;False
2022-10-09;0;6;9;68;13;False
2022-10-16;0;5;11;67;11;False
2022-10-23;0;6;19;63;11;False
2022-10-30;0;6;17;65;11;False
2022-11-06;0;6;12;66;12;False
2022-11-13;0;5;17;64;10;False
2022-11-20;0;5;10;59;12;False
2022-11-27;0;4;9;58;12;False
2022-12-04;0;4;10;58;10;False
2022-12-11;0;6;11;100;11;False
2022-12-18;0;6;13;62;10;False
2022-12-25;0;10;15;59;13;False
2023-01-01;0;8;15;72;15;False
2023-01-08;0;6;13;69;14;False
2023-01-15;0;6;17;75;14;False
2023-01-22;0;6;17;69;13;False
2023-01-29;0;5;17;74;14;False
