date;Rick Rubin;MI5;Sajid Javid;Cambodia;air travel;isPartial
2022-01-02;1;9;22;13;14;False
2022-01-09;1;19;15;14;16;False
2022-01-16;1;11;10;11;12;False
2022-01-23;1;10;8;12;13;False
2022-01-30;1;9;13;12;15;False
2022-02-06;0;10;7;12;15;False
2022-02-13;1;11;5;13;15;False
2022-02-20;1;13;3;13;16;False
2022-02-27;2;12;2;11;14;False
2022-03-06;1;9;3;14;14;False
2022-03-13;1;9;3;12;14;False
2022-03-20;1;7;4;13;14;False
2022-03-27;1;8;3;14;15;False
2022-04-03;1;9;2;11;13;False
2022-04-10;2;10;18;12;12;False
2022-04-17;1;9;2;13;13;False
2022-04-24;1;7;2;13;13;False
2022-05-01;1;8;2;13;14;False
2022-05-08;1;8;2;14;14;False
2022-05-15;1;15;2;16;15;False
2022-05-22;1;9;3;11;14;False
2022-05-29;1;8;1;11;14;False
2022-06-05;1;8;7;17;16;False
2022-06-12;1;6;2;14;14;False
2022-06-19;1;7;2;15;13;False
2022-06-26;1;7;3;13;14;False
2022-07-03;1;17;100;12;15;False
2022-07-10;1;8;48;13;15;False
2022-07-17;0;8;4;13;14;False
2022-07-24;0;9;2;14;14;False
2022-07-31;0;9;2;13;13;False
2022-08-07;1;9;1;14;12;False
2022-08-14;1;8;1;14;12;False
2022-08-21;0;9;1;17;11;False
2022-08-28;0;8;1;14;12;False
2022-09-04;1;10;4;13;13;False
2022-09-11;1;11;1;14;11;False
2022-09-18;0;10;1;13;11;False
2022-09-25;0;8;1;12;11;False
2022-10-02;0;9;1;13;10;False
2022-10-09;3;10;8;15;10;False
2022-10-16;5;9;7;13;9;False
2022-10-23;8;10;10;14;8;False
2022-10-30;2;11;1;13;8;False
2022-11-06;2;11;1;14;9;False
2022-11-13;2;13;1;15;8;False
2022-11-20;2;8;0;16;10;False
2022-11-27;2;9;14;13;10;False
2022-12-04;1;9;1;12;8;False
2022-12-11;2;12;3;13;8;False
2022-12-18;1;11;1;15;8;False
2022-12-25;1;17;1;18;10;False
2023-01-01;1;16;0;19;12;False
2023-01-08;2;12;1;17;11;False
2023-01-15;8;10;7;17;11;False
2023-01-22;4;11;9;18;10;False
2023-01-29;3;8;1;20;11;False
