date;Nicolas Cage;The FA;easyJet;Mortgages;air travel;isPartial
2022-01-02;2;8;44;8;2;False
2022-01-09;2;12;48;8;3;False
2022-01-16;2;3;47;8;2;False
2022-01-23;2;3;49;8;2;False
2022-01-30;1;9;57;9;2;False
2022-02-06;1;9;49;8;3;False
2022-02-13;1;3;53;7;3;False
2022-02-20;1;3;55;7;3;False
2022-02-27;1;12;56;7;2;False
2022-03-06;1;4;52;7;2;False
2022-03-13;2;4;60;7;2;False
2022-03-20;2;7;61;8;2;False
2022-03-27;2;3;65;7;2;False
2022-04-03;3;3;86;6;2;False
2022-04-10;3;9;65;6;2;False
2022-04-17;5;7;63;6;2;False
2022-04-24;3;3;72;7;2;False
2022-05-01;3;5;72;8;2;False
2022-05-08;2;21;68;7;2;False
2022-05-15;2;7;71;8;2;False
2022-05-22;1;3;93;8;2;False
2022-05-29;2;2;100;6;2;False
2022-06-05;3;2;95;7;3;False
2022-06-12;2;1;81;9;2;False
2022-06-19;2;1;81;8;2;False
2022-06-26;1;1;79;8;2;False
2022-07-03;2;1;78;8;2;False
2022-07-10;2;1;73;7;2;False
2022-07-17;2;2;67;7;2;False
2022-07-24;2;2;70;8;2;False
2022-07-31;2;3;69;9;2;False
2022-08-07;2;2;69;8;2;False
2022-08-14;1;2;65;7;2;False
2022-08-21;1;2;66;7;2;False
2022-08-28;1;2;67;7;2;False
2022-09-04;2;4;64;7;2;False
2022-09-11;2;3;70;7;2;False
2022-09-18;1;3;57;8;2;False
2022-09-25;1;3;59;22;2;False
2022-10-02;1;3;62;12;2;False
2022-10-09;1;4;50;9;2;False
2022-10-16;1;4;51;9;1;False
2022-10-23;1;3;49;8;1;False
2022-10-30;2;4;46;9;1;False
2022-11-06;2;5;45;7;2;False
2022-11-13;2;3;35;7;1;False
2022-11-20;1;3;34;5;2;False
2022-11-27;1;5;37;6;2;False
2022-12-04;1;2;34;5;1;False
2022-12-11;1;2;39;6;1;False
2022-12-18;2;2;37;5;1;False
2022-12-25;2;2;54;4;2;False
2023-01-01;2;9;72;7;2;False
2023-01-08;3;9;65;8;2;False
2023-01-15;2;5;63;7;2;False
2023-01-22;2;9;62;8;2;False
2023-01-29;2;11;60;9;2;False
