date;june brown;Faye Dunaway;Logging and land-clearing;Sam Mendes;air travel;isPartial
2022-01-02;1;0;0;0;5;False
2022-01-09;0;1;0;0;5;False
2022-01-16;0;0;0;0;4;False
2022-01-23;0;0;0;0;5;False
2022-01-30;2;0;0;0;5;False
2022-02-06;1;0;0;0;5;False
2022-02-13;1;0;0;0;5;False
2022-02-20;1;0;0;1;5;False
2022-02-27;0;0;0;1;5;False
2022-03-06;1;1;0;1;5;False
2022-03-13;1;1;0;0;5;False
2022-03-20;0;1;0;1;5;False
2022-03-27;1;1;0;0;5;False
2022-04-03;100;0;0;0;5;False
2022-04-10;3;0;0;0;4;False
2022-04-17;1;0;0;0;4;False
2022-04-24;1;0;0;0;5;False
2022-05-01;1;0;0;0;5;False
2022-05-08;1;1;0;0;5;False
2022-05-15;1;0;0;0;5;False
2022-05-22;1;0;0;0;5;False
2022-05-29;1;0;0;0;5;False
2022-06-05;2;0;0;0;5;False
2022-06-12;1;0;0;0;5;False
2022-06-19;1;0;0;0;4;False
2022-06-26;1;0;0;0;5;False
2022-07-03;1;0;0;0;5;False
2022-07-10;1;0;0;0;5;False
2022-07-17;1;0;0;0;5;False
2022-07-24;1;0;0;0;5;False
2022-07-31;0;0;0;0;4;False
2022-08-07;1;1;0;0;4;False
2022-08-14;1;1;0;0;4;False
2022-08-21;1;0;0;1;4;False
2022-08-28;3;0;0;1;4;False
2022-09-04;1;0;0;0;4;False
2022-09-11;0;0;0;0;4;False
2022-09-18;1;0;0;0;4;False
2022-09-25;1;0;0;1;4;False
2022-10-02;1;0;0;0;4;False
2022-10-09;2;0;0;0;3;False
2022-10-16;1;0;0;0;3;False
2022-10-23;1;0;0;0;3;False
2022-10-30;0;0;0;0;3;False
2022-11-06;1;0;0;0;3;False
2022-11-13;0;0;0;0;3;False
2022-11-20;1;1;0;0;3;False
2022-11-27;10;0;0;0;3;False
2022-12-04;7;0;0;1;3;False
2022-12-11;22;0;0;0;3;False
2022-12-18;2;0;0;0;3;False
2022-12-25;2;0;0;3;4;False
2023-01-01;1;1;0;3;4;False
2023-01-08;0;1;0;5;4;False
2023-01-15;0;0;0;2;4;False
2023-01-22;1;0;0;1;3;False
2023-01-29;0;0;0;1;4;False
