date;mark drakeford;Gustav Holst;Publishing;Lipstick;air travel;isPartial
2023-01-01;1;0;7;33;6;False
2023-01-02;1;0;10;33;7;False
2023-01-03;1;1;14;29;4;False
2023-01-04;2;0;18;30;7;False
2023-01-05;1;1;16;29;5;False
2023-01-06;1;1;15;26;5;False
2023-01-07;0;1;9;33;4;False
2023-01-08;0;0;15;32;6;False
2023-01-09;1;0;14;25;4;False
2023-01-10;1;0;16;25;6;False
2023-01-11;1;1;17;27;7;False
2023-01-12;1;1;15;27;6;False
2023-01-13;0;0;13;27;4;False
2023-01-14;0;1;8;33;4;False
2023-01-15;2;0;10;33;5;False
2023-01-16;0;0;16;23;5;False
2023-01-17;0;0;16;25;4;False
2023-01-18;0;1;17;29;6;False
2023-01-19;1;1;16;29;5;False
2023-01-20;0;0;14;28;4;False
2023-01-21;0;0;8;37;5;False
2023-01-22;0;0;11;36;5;False
2023-01-23;0;0;18;27;5;False
2023-01-24;0;0;16;27;4;False
2023-01-25;0;0;15;27;6;False
2023-01-26;0;0;14;32;5;False
2023-01-27;1;1;14;30;4;False
2023-01-28;100;0;9;34;5;False
2023-01-29;29;0;8;38;5;False
2023-01-30;7;0;14;31;7;False
2023-01-31;4;1;15;30;6;False
