date;Benfica;Biofuels;Paris Olympic Games 2024;Puppetry;air travel;isPartial
2023-01-01;12;0;0;0;15;False
2023-01-02;13;0;0;0;18;False
2023-01-03;10;0;0;0;12;False
2023-01-04;10;0;0;0;18;False
2023-01-05;15;2;0;2;14;False
2023-01-06;47;0;0;3;15;False
2023-01-07;16;1;2;2;11;False
2023-01-08;15;2;0;0;17;False
2023-01-09;12;3;0;2;10;False
2023-01-10;34;1;0;0;16;False
2023-01-11;23;1;0;1;18;False
2023-01-12;13;1;0;0;15;False
2023-01-13;13;2;0;2;12;False
2023-01-14;16;2;0;0;11;False
2023-01-15;100;0;0;0;13;False
2023-01-16;14;3;0;2;14;False
2023-01-17;12;1;0;2;11;False
2023-01-18;8;4;0;0;16;False
2023-01-19;13;3;0;1;14;False
2023-01-20;12;1;0;0;12;False
2023-01-21;40;3;1;0;12;False
2023-01-22;14;1;0;0;14;False
2023-01-23;15;4;1;0;14;False
2023-01-24;11;0;4;1;11;False
2023-01-25;10;0;1;1;15;False
2023-01-26;44;2;0;0;13;False
2023-01-27;16;0;0;0;9;False
2023-01-28;12;3;2;0;13;False
2023-01-29;12;0;0;0;12;False
2023-01-30;22;2;0;1;20;False
2023-01-31;74;1;2;1;17;False
