date;David Duchovny;Conservative leadership;Egyptology;Yoga holidays;air travel;isPartial
2022-01-02;1;0;0;1;15;False
2022-01-09;1;2;0;1;17;False
2022-01-16;1;1;0;0;13;False
2022-01-23;1;1;0;1;14;False
2022-01-30;1;1;1;0;16;False
2022-02-06;1;0;0;1;16;False
2022-02-13;1;0;1;1;16;False
2022-02-20;1;0;0;1;16;False
2022-02-27;2;0;0;0;14;False
2022-03-06;1;0;0;1;15;False
2022-03-13;1;0;0;1;15;False
2022-03-20;1;0;0;1;15;False
2022-03-27;2;0;0;0;15;False
2022-04-03;2;0;1;0;14;False
2022-04-10;2;0;0;1;12;False
2022-04-17;1;0;1;1;13;False
2022-04-24;1;0;1;1;14;False
2022-05-01;1;0;1;1;14;False
2022-05-08;1;0;1;1;15;False
2022-05-15;1;0;0;1;15;False
2022-05-22;1;0;1;1;15;False
2022-05-29;1;1;0;0;15;False
2022-06-05;1;3;1;1;17;False
2022-06-12;1;0;0;0;15;False
2022-06-19;1;0;1;1;13;False
2022-06-26;1;0;0;0;14;False
2022-07-03;1;21;1;1;15;False
2022-07-10;1;100;0;1;16;False
2022-07-17;1;81;0;0;15;False
2022-07-24;1;17;0;1;15;False
2022-07-31;1;11;0;0;13;False
2022-08-07;2;8;1;1;13;False
2022-08-14;1;6;0;1;13;False
2022-08-21;1;7;0;1;11;False
2022-08-28;1;13;0;1;12;False
2022-09-04;1;15;0;0;13;False
2022-09-11;1;1;1;1;12;False
2022-09-18;1;1;1;0;11;False
2022-09-25;1;1;0;0;11;False
2022-10-02;1;2;0;1;11;False
2022-10-09;1;2;0;0;11;False
2022-10-16;1;21;0;0;9;False
2022-10-23;1;16;0;0;9;False
2022-10-30;1;1;1;0;9;False
2022-11-06;1;1;1;0;10;False
2022-11-13;1;0;1;0;8;False
2022-11-20;1;0;0;0;10;False
2022-11-27;1;0;0;1;10;False
2022-12-04;1;0;0;1;9;False
2022-12-11;1;0;1;0;9;False
2022-12-18;1;0;0;0;8;False
2022-12-25;1;0;0;1;11;False
2023-01-01;1;0;0;1;13;False
2023-01-08;1;0;0;1;12;False
2023-01-15;2;1;1;1;12;False
2023-01-22;3;1;1;1;11;False
2023-01-29;4;0;0;1;11;False
