date;asda;Andrew Tate;Yorkshire;Jesse Plemons;air travel;isPartial
2022-01-02;66;0;20;0;1;False
2022-01-09;52;0;20;0;1;False
2022-01-16;48;0;17;0;0;False
2022-01-23;52;0;18;0;1;False
2022-01-30;59;0;19;0;1;False
2022-02-06;53;0;19;0;1;False
2022-02-13;52;0;17;0;1;False
2022-02-20;52;0;19;0;1;False
2022-02-27;56;0;16;0;1;False
2022-03-06;51;0;17;0;1;False
2022-03-13;56;0;16;0;1;False
2022-03-20;60;0;17;0;1;False
2022-03-27;56;0;16;0;1;False
2022-04-03;54;0;18;0;1;False
2022-04-10;70;0;18;0;0;False
2022-04-17;65;1;18;0;1;False
2022-04-24;50;1;17;0;1;False
2022-05-01;59;1;19;0;1;False
2022-05-08;55;1;17;0;1;False
2022-05-15;58;1;16;0;1;False
2022-05-22;56;1;17;0;1;False
2022-05-29;74;1;18;0;1;False
2022-06-05;58;2;19;0;1;False
2022-06-12;64;2;19;0;1;False
2022-06-19;59;1;18;0;1;False
2022-06-26;62;3;19;0;1;False
2022-07-03;63;2;18;0;1;False
2022-07-10;66;4;22;0;1;False
2022-07-17;66;5;18;0;1;False
2022-07-24;62;5;22;0;1;False
2022-07-31;61;7;21;0;1;False
2022-08-07;68;8;19;0;1;False
2022-08-14;61;11;18;0;0;False
2022-08-21;63;11;19;0;0;False
2022-08-28;71;4;19;0;0;False
2022-09-04;59;3;17;0;1;False
2022-09-11;66;2;18;0;0;False
2022-09-18;83;2;19;0;0;False
2022-09-25;73;2;20;0;0;False
2022-10-02;65;3;19;0;0;False
2022-10-09;68;3;19;0;0;False
2022-10-16;62;2;17;0;0;False
2022-10-23;66;5;17;0;0;False
2022-10-30;71;3;17;0;0;False
2022-11-06;71;5;17;0;0;False
2022-11-13;76;4;17;0;0;False
2022-11-20;72;3;17;0;0;False
2022-11-27;76;3;16;0;0;False
2022-12-04;70;3;15;0;0;False
2022-12-11;77;3;18;0;0;False
2022-12-18;100;4;20;0;0;False
2022-12-25;88;46;20;0;0;False
2023-01-01;68;16;17;0;0;False
2023-01-08;54;15;16;0;0;False
2023-01-15;54;10;17;0;0;False
2023-01-22;55;8;17;0;0;False
2023-01-29;60;6;19;0;0;False
