date;diabetes;Hong Kong;British food and drink;United Nations;air travel;isPartial
2023-01-01;55;53;0;2;6;False
2023-01-02;66;45;0;2;7;False
2023-01-03;72;43;0;4;4;False
2023-01-04;76;44;0;4;7;False
2023-01-05;77;38;0;3;6;False
2023-01-06;76;43;0;2;6;False
2023-01-07;62;38;0;2;4;False
2023-01-08;67;43;0;6;6;False
2023-01-09;76;41;0;5;4;False
2023-01-10;100;42;0;4;6;False
2023-01-11;90;39;0;5;7;False
2023-01-12;86;47;1;3;6;False
2023-01-13;77;43;0;5;5;False
2023-01-14;62;42;0;3;4;False
2023-01-15;67;35;0;3;5;False
2023-01-16;82;44;0;6;5;False
2023-01-17;81;44;0;6;4;False
2023-01-18;85;43;1;4;6;False
2023-01-19;80;43;0;5;6;False
2023-01-20;73;44;0;4;5;False
2023-01-21;64;43;0;4;5;False
2023-01-22;65;40;0;5;5;False
2023-01-23;80;37;0;5;5;False
2023-01-24;84;41;0;4;4;False
2023-01-25;80;40;0;4;6;False
2023-01-26;79;39;0;5;5;False
2023-01-27;79;46;0;6;4;False
2023-01-28;63;40;0;4;5;False
2023-01-29;68;42;0;3;5;False
2023-01-30;79;41;0;4;8;False
2023-01-31;82;43;0;6;6;False
