date;uk weather;PDC World Championships;Weapons technology;Mark Zuckerberg;air travel;isPartial
2022-01-02;44;0;0;1;2;False
2022-01-09;27;0;0;1;2;False
2022-01-16;27;0;0;1;2;False
2022-01-23;28;0;0;1;2;False
2022-01-30;34;0;0;2;2;False
2022-02-06;31;0;0;1;2;False
2022-02-13;75;0;0;1;2;False
2022-02-20;48;0;0;1;2;False
2022-02-27;31;0;0;1;2;False
2022-03-06;31;0;0;1;2;False
2022-03-13;32;0;0;1;2;False
2022-03-20;29;0;0;1;2;False
2022-03-27;42;0;0;1;2;False
2022-04-03;37;0;0;1;2;False
2022-04-10;36;0;0;1;2;False
2022-04-17;32;0;0;1;2;False
2022-04-24;31;0;0;1;2;False
2022-05-01;36;0;0;1;2;False
2022-05-08;39;0;0;1;2;False
2022-05-15;52;0;0;1;2;False
2022-05-22;41;0;0;1;2;False
2022-05-29;54;0;0;1;2;False
2022-06-05;43;0;0;1;2;False
2022-06-12;52;0;0;1;2;False
2022-06-19;51;0;0;1;2;False
2022-06-26;47;0;0;1;2;False
2022-07-03;41;0;0;1;2;False
2022-07-10;75;0;0;1;2;False
2022-07-17;100;0;0;1;2;False
2022-07-24;49;0;0;1;2;False
2022-07-31;46;0;0;1;2;False
2022-08-07;52;0;0;1;2;False
2022-08-14;63;0;0;1;2;False
2022-08-21;45;0;0;1;2;False
2022-08-28;40;0;0;1;2;False
2022-09-04;54;0;0;1;2;False
2022-09-11;34;0;0;1;2;False
2022-09-18;29;0;0;1;2;False
2022-09-25;38;0;0;1;2;False
2022-10-02;35;0;0;1;2;False
2022-10-09;30;0;0;1;1;False
2022-10-16;35;0;0;1;1;False
2022-10-23;38;0;0;2;1;False
2022-10-30;36;0;0;1;1;False
2022-11-06;32;0;0;1;1;False
2022-11-13;34;0;0;1;1;False
2022-11-20;37;0;0;1;1;False
2022-11-27;30;0;0;1;1;False
2022-12-04;47;0;0;1;1;False
2022-12-11;64;0;0;1;1;False
2022-12-18;39;0;0;1;1;False
2022-12-25;43;0;0;1;2;False
2023-01-01;35;0;0;1;2;False
2023-01-08;39;0;0;1;2;False
2023-01-15;47;0;0;1;2;False
2023-01-22;33;0;0;1;1;False
2023-01-29;29;0;0;1;2;False
