date;scotland;Biology;Ozwald Boateng;kate middleton;air travel;isPartial
2023-01-01;72;5;0;2;1;False
2023-01-02;83;7;0;3;1;False
2023-01-03;83;8;0;2;1;False
2023-01-04;92;10;0;2;1;False
2023-01-05;83;11;0;3;1;False
2023-01-06;82;9;1;4;1;False
2023-01-07;69;7;0;3;1;False
2023-01-08;85;10;0;4;1;False
2023-01-09;88;12;0;6;1;False
2023-01-10;91;12;0;4;1;False
2023-01-11;86;11;0;3;1;False
2023-01-12;86;12;0;4;1;False
2023-01-13;88;9;0;2;1;False
2023-01-14;79;7;0;3;1;False
2023-01-15;86;11;0;2;1;False
2023-01-16;95;12;0;2;1;False
2023-01-17;96;12;0;2;1;False
2023-01-18;88;10;0;2;1;False
2023-01-19;92;11;0;2;1;False
2023-01-20;91;9;0;2;1;False
2023-01-21;81;7;0;2;1;False
2023-01-22;82;8;0;1;1;False
2023-01-23;95;12;0;1;1;False
2023-01-24;97;12;0;1;1;False
2023-01-25;96;11;0;2;1;False
2023-01-26;83;10;0;2;1;False
2023-01-27;85;8;0;1;1;False
2023-01-28;76;6;0;2;1;False
2023-01-29;78;8;0;4;1;False
2023-01-30;100;12;0;6;1;False
2023-01-31;100;11;0;4;1;False
