date;Plaid Cymru;US healthcare;Real estate;debt;air travel;isPartial
2022-01-02;0;1;48;72;13;False
2022-01-09;1;0;47;74;15;False
2022-01-16;1;1;46;74;11;False
2022-01-23;1;1;45;80;13;False
2022-01-30;1;1;45;81;14;False
2022-02-06;1;1;45;74;14;False
2022-02-13;0;1;42;75;14;False
2022-02-20;1;1;42;95;15;False
2022-02-27;1;1;40;82;13;False
2022-03-06;1;1;40;94;14;False
2022-03-13;1;1;42;94;13;False
2022-03-20;1;1;43;92;13;False
2022-03-27;1;1;41;86;14;False
2022-04-03;1;1;42;87;13;False
2022-04-10;1;1;40;70;11;False
2022-04-17;1;1;41;68;12;False
2022-04-24;1;1;44;85;13;False
2022-05-01;5;1;45;91;13;False
2022-05-08;2;1;44;77;13;False
2022-05-15;1;1;45;80;14;False
2022-05-22;1;1;41;76;13;False
2022-05-29;0;1;40;61;13;False
2022-06-05;1;1;48;76;15;False
2022-06-12;0;1;44;73;13;False
2022-06-19;0;1;40;72;12;False
2022-06-26;1;1;42;79;13;False
2022-07-03;1;1;44;72;14;False
2022-07-10;1;0;45;72;14;False
2022-07-17;1;1;44;71;14;False
2022-07-24;1;1;45;74;13;False
2022-07-31;1;1;46;69;12;False
2022-08-07;1;1;46;70;12;False
2022-08-14;1;1;43;67;12;False
2022-08-21;1;1;45;74;10;False
2022-08-28;1;1;46;68;11;False
2022-09-04;1;1;44;79;12;False
2022-09-11;1;1;45;71;10;False
2022-09-18;1;1;44;67;10;False
2022-09-25;1;1;44;94;10;False
2022-10-02;1;1;44;76;10;False
2022-10-09;1;1;43;76;9;False
2022-10-16;2;1;43;81;9;False
2022-10-23;1;1;43;73;8;False
2022-10-30;1;1;45;72;8;False
2022-11-06;1;1;46;73;9;False
2022-11-13;1;1;43;77;7;False
2022-11-20;1;1;36;63;9;False
2022-11-27;1;1;37;64;9;False
2022-12-04;1;1;38;65;8;False
2022-12-11;1;1;36;61;8;False
2022-12-18;0;1;35;58;7;False
2022-12-25;0;1;31;47;10;False
2023-01-01;1;1;42;71;11;False
2023-01-08;1;1;43;79;11;False
2023-01-15;0;1;46;100;10;False
2023-01-22;1;1;45;100;10;False
2023-01-29;1;1;44;95;10;False
