date;Recycling;Conservative leadership;Privacy;Country;air travel;isPartial
2023-01-01;48;0;4;97;2;False
2023-01-02;67;0;5;99;2;False
2023-01-03;46;0;6;97;1;False
2023-01-04;42;0;6;93;2;False
2023-01-05;39;0;5;87;2;False
2023-01-06;36;0;5;87;2;False
2023-01-07;39;0;5;86;1;False
2023-01-08;42;0;5;100;2;False
2023-01-09;32;0;6;89;1;False
2023-01-10;26;0;6;85;2;False
2023-01-11;28;0;6;79;2;False
2023-01-12;26;0;7;89;2;False
2023-01-13;27;0;5;82;2;False
2023-01-14;32;0;3;89;1;False
2023-01-15;36;1;5;92;2;False
2023-01-16;26;0;6;87;2;False
2023-01-17;23;0;6;83;1;False
2023-01-18;22;0;6;90;2;False
2023-01-19;25;0;7;85;2;False
2023-01-20;23;0;6;88;1;False
2023-01-21;31;0;5;98;2;False
2023-01-22;30;0;4;97;2;False
2023-01-23;26;0;6;91;2;False
2023-01-24;24;0;6;83;1;False
2023-01-25;23;0;6;86;2;False
2023-01-26;24;0;6;80;2;False
2023-01-27;23;0;6;82;1;False
2023-01-28;28;0;4;88;2;False
2023-01-29;29;0;5;90;2;False
2023-01-30;25;0;7;86;3;False
2023-01-31;26;0;7;86;2;False
