date;Shares;Fungi;National parks;Art and design;air travel;isPartial
2022-01-02;89;5;3;3;7;False
2022-01-09;100;7;4;3;8;False
2022-01-16;91;5;3;2;6;False
2022-01-23;95;6;3;3;7;False
2022-01-30;100;5;3;3;8;False
2022-02-06;90;5;3;3;8;False
2022-02-13;79;4;4;2;8;False
2022-02-20;96;5;3;3;8;False
2022-02-27;95;5;3;3;7;False
2022-03-06;91;5;3;3;7;False
2022-03-13;82;6;3;3;7;False
2022-03-20;85;4;4;3;7;False
2022-03-27;87;5;3;3;8;False
2022-04-03;92;4;3;2;7;False
2022-04-10;72;4;5;1;6;False
2022-04-17;68;4;4;2;7;False
2022-04-24;78;5;4;3;7;False
2022-05-01;76;5;4;3;7;False
2022-05-08;76;5;4;3;7;False
2022-05-15;80;6;3;3;8;False
2022-05-22;79;4;4;3;7;False
2022-05-29;58;3;4;1;7;False
2022-06-05;71;4;3;3;8;False
2022-06-12;72;4;4;2;7;False
2022-06-19;68;4;4;2;7;False
2022-06-26;73;3;3;2;7;False
2022-07-03;73;3;4;2;8;False
2022-07-10;64;3;4;2;8;False
2022-07-17;69;3;3;2;7;False
2022-07-24;72;3;4;1;7;False
2022-07-31;77;3;4;1;7;False
2022-08-07;75;2;4;1;6;False
2022-08-14;73;3;3;2;6;False
2022-08-21;78;3;4;2;6;False
2022-08-28;66;5;3;2;6;False
2022-09-04;68;5;4;3;7;False
2022-09-11;72;6;4;3;6;False
2022-09-18;63;6;3;3;6;False
2022-09-25;80;7;3;3;6;False
2022-10-02;75;7;4;3;5;False
2022-10-09;75;8;3;3;5;False
2022-10-16;74;8;2;2;5;False
2022-10-23;77;8;3;2;4;False
2022-10-30;84;7;2;3;4;False
2022-11-06;84;6;3;2;5;False
2022-11-13;83;6;2;3;4;False
2022-11-20;62;5;2;3;5;False
2022-11-27;63;5;3;2;5;False
2022-12-04;55;4;2;3;4;False
2022-12-11;59;4;2;2;4;False
2022-12-18;54;3;2;1;4;False
2022-12-25;42;3;3;1;5;False
2023-01-01;68;4;3;3;6;False
2023-01-08;78;6;22;3;6;False
2023-01-15;69;6;7;3;6;False
2023-01-22;77;7;4;3;5;False
2023-01-29;87;6;4;3;6;False
