date;Australian Competition and Consumer Commission (ACCC);Eva Perón;The Rolling Stones;channel 4;air travel;isPartial
2022-01-02;0;0;3;63;7;False
2022-01-09;0;0;4;48;8;False
2022-01-16;0;0;2;37;6;False
2022-01-23;0;0;2;41;6;False
2022-01-30;0;0;3;45;7;False
2022-02-06;0;0;2;59;7;False
2022-02-13;0;0;2;38;7;False
2022-02-20;0;0;2;40;7;False
2022-02-27;0;0;2;45;6;False
2022-03-06;0;0;2;42;7;False
2022-03-13;0;0;6;52;7;False
2022-03-20;0;0;3;55;6;False
2022-03-27;0;0;3;50;7;False
2022-04-03;0;0;3;82;6;False
2022-04-10;0;0;3;57;5;False
2022-04-17;0;0;2;54;6;False
2022-04-24;0;0;2;50;6;False
2022-05-01;0;0;2;53;6;False
2022-05-08;0;0;3;60;7;False
2022-05-15;0;0;3;48;7;False
2022-05-22;0;0;3;48;6;False
2022-05-29;0;0;4;62;7;False
2022-06-05;0;0;7;95;7;False
2022-06-12;0;0;4;63;6;False
2022-06-19;0;0;8;71;6;False
2022-06-26;0;0;12;58;6;False
2022-07-03;0;0;11;72;7;False
2022-07-10;0;0;6;64;7;False
2022-07-17;0;0;6;39;7;False
2022-07-24;0;0;6;52;7;False
2022-07-31;0;0;3;39;6;False
2022-08-07;0;0;3;36;6;False
2022-08-14;0;0;4;32;6;False
2022-08-21;0;0;3;40;5;False
2022-08-28;0;0;3;43;5;False
2022-09-04;0;0;2;56;6;False
2022-09-11;0;0;2;62;5;False
2022-09-18;0;0;2;77;5;False
2022-09-25;0;0;2;84;5;False
2022-10-02;0;0;2;66;5;False
2022-10-09;0;0;2;58;5;False
2022-10-16;0;0;2;68;4;False
2022-10-23;0;0;2;100;4;False
2022-10-30;0;0;2;62;4;False
2022-11-06;0;0;2;49;4;False
2022-11-13;0;0;2;59;4;False
2022-11-20;0;0;2;33;5;False
2022-11-27;0;0;2;34;4;False
2022-12-04;0;0;1;54;4;False
2022-12-11;0;0;2;41;4;False
2022-12-18;0;0;2;41;4;False
2022-12-25;0;0;3;40;5;False
2023-01-01;0;0;3;46;6;False
2023-01-08;0;0;2;37;5;False
2023-01-15;0;0;3;41;5;False
2023-01-22;0;0;2;38;5;False
2023-01-29;0;0;2;37;5;False
