date;Film;Partygate;American food and drink;Genealogy;air travel;isPartial
2022-01-02;83;0;0;0;1;False
2022-01-09;76;0;0;0;1;False
2022-01-16;74;0;0;0;1;False
2022-01-23;75;0;0;0;1;False
2022-01-30;70;1;0;0;1;False
2022-02-06;71;0;0;0;1;False
2022-02-13;69;0;0;0;1;False
2022-02-20;76;0;0;0;1;False
2022-02-27;65;0;0;0;1;False
2022-03-06;68;0;0;0;1;False
2022-03-13;68;0;0;0;1;False
2022-03-20;71;0;0;0;1;False
2022-03-27;70;1;0;0;1;False
2022-04-03;71;0;0;0;1;False
2022-04-10;71;1;0;0;1;False
2022-04-17;64;1;0;0;1;False
2022-04-24;60;0;0;0;1;False
2022-05-01;69;0;0;0;1;False
2022-05-08;59;0;0;0;1;False
2022-05-15;63;0;0;0;1;False
2022-05-22;64;2;0;0;1;False
2022-05-29;71;1;0;0;1;False
2022-06-05;71;0;0;0;1;False
2022-06-12;64;0;0;0;1;False
2022-06-19;64;0;0;0;1;False
2022-06-26;65;0;0;0;1;False
2022-07-03;63;0;0;0;1;False
2022-07-10;62;0;0;0;1;False
2022-07-17;66;0;0;0;1;False
2022-07-24;68;0;0;0;1;False
2022-07-31;65;0;0;0;1;False
2022-08-07;70;0;0;0;1;False
2022-08-14;63;0;0;0;1;False
2022-08-21;70;0;0;0;1;False
2022-08-28;72;0;0;0;1;False
2022-09-04;67;0;0;0;1;False
2022-09-11;71;0;0;0;1;False
2022-09-18;69;0;0;0;1;False
2022-09-25;69;0;0;0;1;False
2022-10-02;74;0;0;0;1;False
2022-10-09;70;0;0;0;1;False
2022-10-16;65;0;0;0;1;False
2022-10-23;71;0;0;0;1;False
2022-10-30;69;0;0;0;1;False
2022-11-06;66;0;0;0;1;False
2022-11-13;64;0;0;0;1;False
2022-11-20;59;0;0;0;1;False
2022-11-27;68;0;0;0;1;False
2022-12-04;63;0;0;0;1;False
2022-12-11;74;0;0;0;1;False
2022-12-18;79;0;0;0;1;False
2022-12-25;100;0;0;0;1;False
2023-01-01;86;0;0;0;1;False
2023-01-08;76;0;0;0;1;False
2023-01-15;79;0;0;0;1;False
2023-01-22;76;0;0;0;1;False
2023-01-29;71;0;0;0;1;False
