date;Prisons;Pitlochry Festival theatre;Salman Rushdie;Robots;air travel;isPartial
2023-01-01;28;0;0;56;33;False
2023-01-02;40;0;4;52;39;False
2023-01-03;39;3;5;46;25;False
2023-01-04;35;5;3;46;39;False
2023-01-05;39;2;8;41;32;False
2023-01-06;36;2;13;68;32;False
2023-01-07;21;0;16;45;23;False
2023-01-08;47;0;7;57;37;False
2023-01-09;40;0;2;51;22;False
2023-01-10;38;0;5;53;34;False
2023-01-11;33;0;9;42;39;False
2023-01-12;63;5;8;61;32;False
2023-01-13;46;0;5;58;26;False
2023-01-14;29;0;4;50;24;False
2023-01-15;35;0;10;45;29;False
2023-01-16;40;0;7;41;30;False
2023-01-17;42;0;8;53;24;False
2023-01-18;34;0;5;36;35;False
2023-01-19;56;0;5;70;32;False
2023-01-20;43;3;0;77;26;False
2023-01-21;39;0;7;54;27;False
2023-01-22;26;5;9;50;30;False
2023-01-23;39;0;6;56;31;False
2023-01-24;35;0;8;60;24;False
2023-01-25;41;0;8;65;33;False
2023-01-26;69;2;5;68;29;False
2023-01-27;43;0;4;100;20;False
2023-01-28;34;0;4;48;29;False
2023-01-29;47;0;0;47;26;False
2023-01-30;39;0;7;44;44;False
2023-01-31;48;0;0;53;37;False
