date;Barbados;Libya;Food safety;Exhibitions;air travel;isPartial
2022-01-02;91;6;6;14;12;False
2022-01-09;90;5;9;17;14;False
2022-01-16;87;5;8;16;10;False
2022-01-23;89;5;9;18;11;False
2022-01-30;80;5;8;17;13;False
2022-02-06;63;6;7;17;13;False
2022-02-13;63;5;8;19;13;False
2022-02-20;63;9;7;18;13;False
2022-02-27;59;10;8;17;11;False
2022-03-06;58;8;8;17;12;False
2022-03-13;67;9;7;16;12;False
2022-03-20;54;8;8;15;11;False
2022-03-27;73;6;8;16;12;False
2022-04-03;48;6;7;17;11;False
2022-04-10;46;6;6;14;10;False
2022-04-17;43;5;6;14;11;False
2022-04-24;40;5;8;14;11;False
2022-05-01;41;6;8;16;11;False
2022-05-08;38;6;9;14;12;False
2022-05-15;40;5;7;14;12;False
2022-05-22;38;5;7;15;12;False
2022-05-29;40;9;5;13;12;False
2022-06-05;39;5;8;13;13;False
2022-06-12;39;8;7;12;12;False
2022-06-19;38;8;7;12;11;False
2022-06-26;39;6;8;13;11;False
2022-07-03;38;5;7;12;12;False
2022-07-10;38;6;7;12;12;False
2022-07-17;39;6;6;12;12;False
2022-07-24;43;6;6;14;12;False
2022-07-31;48;5;6;14;11;False
2022-08-07;43;5;6;14;10;False
2022-08-14;38;5;6;15;10;False
2022-08-21;39;4;6;15;9;False
2022-08-28;38;5;6;17;10;False
2022-09-04;38;4;8;15;10;False
2022-09-11;41;5;8;15;9;False
2022-09-18;41;4;7;14;9;False
2022-09-25;40;5;8;17;9;False
2022-10-02;39;4;8;17;9;False
2022-10-09;39;5;8;17;8;False
2022-10-16;38;6;7;17;7;False
2022-10-23;44;5;6;18;7;False
2022-10-30;44;6;8;15;7;False
2022-11-06;47;5;8;15;8;False
2022-11-13;50;6;7;15;7;False
2022-11-20;42;6;7;14;8;False
2022-11-27;47;5;7;13;8;False
2022-12-04;40;5;6;11;7;False
2022-12-11;46;5;7;9;7;False
2022-12-18;51;6;5;10;7;False
2022-12-25;64;6;3;13;9;False
2023-01-01;100;5;7;18;10;False
2023-01-08;79;7;7;20;9;False
2023-01-15;69;6;8;18;9;False
2023-01-22;62;5;7;19;8;False
2023-01-29;57;6;9;18;9;False
