date;Virgin Galactic;Endangered habitats;Graham Swift;ozzy osbourne;air travel;isPartial
2022-01-02;3;0;2;7;12;False
2022-01-09;5;0;2;5;13;False
2022-01-16;4;0;2;9;10;False
2022-01-23;3;0;3;6;11;False
2022-01-30;3;0;1;6;12;False
2022-02-06;2;0;0;6;12;False
2022-02-13;6;0;0;5;12;False
2022-02-20;4;0;0;5;13;False
2022-02-27;3;0;0;7;11;False
2022-03-06;3;0;0;7;12;False
2022-03-13;3;0;1;7;12;False
2022-03-20;3;0;0;7;11;False
2022-03-27;3;0;0;6;12;False
2022-04-03;2;0;0;6;11;False
2022-04-10;2;0;0;7;9;False
2022-04-17;2;0;0;6;11;False
2022-04-24;2;0;0;16;11;False
2022-05-01;2;0;0;11;11;False
2022-05-08;2;0;0;6;12;False
2022-05-15;2;0;0;7;12;False
2022-05-22;1;0;0;6;11;False
2022-05-29;2;0;0;7;12;False
2022-06-05;1;0;0;11;13;False
2022-06-12;1;0;0;21;11;False
2022-06-19;2;0;0;10;10;False
2022-06-26;1;0;0;9;11;False
2022-07-03;1;0;0;8;12;False
2022-07-10;2;0;0;8;12;False
2022-07-17;1;0;0;7;12;False
2022-07-24;1;0;0;17;12;False
2022-07-31;2;0;0;7;10;False
2022-08-07;2;0;0;100;10;False
2022-08-14;2;0;0;9;10;False
2022-08-21;1;0;0;9;9;False
2022-08-28;1;0;1;31;10;False
2022-09-04;2;0;0;16;10;False
2022-09-11;1;0;0;16;9;False
2022-09-18;1;0;0;11;9;False
2022-09-25;1;0;0;7;9;False
2022-10-02;1;0;0;10;8;False
2022-10-09;1;0;1;8;8;False
2022-10-16;1;0;1;10;7;False
2022-10-23;1;0;3;20;7;False
2022-10-30;1;0;1;9;7;False
2022-11-06;1;0;0;10;8;False
2022-11-13;2;0;0;12;6;False
2022-11-20;1;0;0;7;8;False
2022-11-27;1;0;0;8;8;False
2022-12-04;1;0;0;9;7;False
2022-12-11;2;0;0;8;7;False
2022-12-18;1;0;0;11;6;False
2022-12-25;2;0;0;12;8;False
2023-01-01;2;0;0;10;10;False
2023-01-08;6;0;0;11;9;False
2023-01-15;2;0;0;7;9;False
2023-01-22;1;0;0;8;8;False
2023-01-29;2;0;0;29;9;False
