date;Women;Malaysia Airlines flight MH370;Basketball;Dua Lipa;air travel;isPartial
2022-01-02;74;0;6;2;1;False
2022-01-09;79;0;6;2;1;False
2022-01-16;66;0;6;2;1;False
2022-01-23;72;0;6;2;1;False
2022-01-30;81;0;6;2;1;False
2022-02-06;70;0;6;3;1;False
2022-02-13;69;0;7;2;1;False
2022-02-20;76;0;7;2;1;False
2022-02-27;76;0;7;2;1;False
2022-03-06;81;0;8;2;1;False
2022-03-13;78;0;8;2;1;False
2022-03-20;78;0;9;2;1;False
2022-03-27;76;0;8;2;1;False
2022-04-03;79;0;8;2;1;False
2022-04-10;81;0;7;4;1;False
2022-04-17;71;0;7;4;1;False
2022-04-24;69;0;7;4;1;False
2022-05-01;82;0;7;4;1;False
2022-05-08;77;0;6;3;1;False
2022-05-15;74;0;7;2;1;False
2022-05-22;68;0;6;2;1;False
2022-05-29;72;0;6;3;1;False
2022-06-05;72;0;7;2;1;False
2022-06-12;77;0;8;2;1;False
2022-06-19;71;0;6;2;1;False
2022-06-26;75;0;7;2;1;False
2022-07-03;76;0;7;2;1;False
2022-07-10;86;0;6;2;1;False
2022-07-17;87;0;6;2;1;False
2022-07-24;89;0;7;2;1;False
2022-07-31;100;0;8;2;1;False
2022-08-07;69;0;6;2;1;False
2022-08-14;69;0;5;2;1;False
2022-08-21;70;0;5;2;1;False
2022-08-28;77;0;6;2;1;False
2022-09-04;77;0;7;1;1;False
2022-09-11;75;0;7;1;1;False
2022-09-18;84;0;6;1;1;False
2022-09-25;89;0;6;2;1;False
2022-10-02;83;0;7;1;1;False
2022-10-09;85;0;7;1;1;False
2022-10-16;81;0;6;1;1;False
2022-10-23;79;0;8;1;1;False
2022-10-30;74;0;6;1;1;False
2022-11-06;84;0;7;2;1;False
2022-11-13;82;0;7;2;1;False
2022-11-20;89;0;7;1;1;False
2022-11-27;87;0;7;3;1;False
2022-12-04;89;0;7;1;1;False
2022-12-11;86;0;7;2;1;False
2022-12-18;77;0;7;2;1;False
2022-12-25;78;0;7;1;1;False
2023-01-01;73;0;6;1;1;False
2023-01-08;72;0;7;1;1;False
2023-01-15;72;0;7;1;1;False
2023-01-22;73;0;7;1;1;False
2023-01-29;78;0;7;1;1;False
