date;Marvel;China's one-child policy;Bradley Wiggins;ministry of justice;air travel;isPartial
2022-01-02;100;0;0;1;4;False
2022-01-09;88;0;0;1;5;False
2022-01-16;94;0;0;1;4;False
2022-01-23;73;0;0;1;4;False
2022-01-30;61;0;0;1;5;False
2022-02-06;52;0;0;1;5;False
2022-02-13;67;0;0;1;5;False
2022-02-20;64;0;0;1;5;False
2022-02-27;51;0;0;1;4;False
2022-03-06;51;0;0;1;4;False
2022-03-13;64;0;0;1;4;False
2022-03-20;53;0;0;1;4;False
2022-03-27;56;0;0;1;4;False
2022-04-03;59;0;1;1;4;False
2022-04-10;64;0;0;1;3;False
2022-04-17;59;0;4;1;4;False
2022-04-24;51;0;1;1;4;False
2022-05-01;81;0;1;1;4;False
2022-05-08;78;0;1;1;4;False
2022-05-15;58;0;0;1;4;False
2022-05-22;55;0;1;1;4;False
2022-05-29;53;0;0;1;4;False
2022-06-05;75;0;0;1;5;False
2022-06-12;62;0;0;1;4;False
2022-06-19;68;0;0;1;4;False
2022-06-26;63;0;1;1;4;False
2022-07-03;60;0;1;1;4;False
2022-07-10;72;0;1;1;5;False
2022-07-17;67;0;1;1;4;False
2022-07-24;94;0;1;1;4;False
2022-07-31;56;0;0;1;4;False
2022-08-07;53;0;0;1;4;False
2022-08-14;52;0;0;1;4;False
2022-08-21;56;0;0;1;3;False
2022-08-28;52;0;0;1;3;False
2022-09-04;53;0;0;1;4;False
2022-09-11;54;0;0;1;3;False
2022-09-18;45;0;0;1;3;False
2022-09-25;45;0;0;1;3;False
2022-10-02;43;0;0;1;3;False
2022-10-09;47;0;0;1;3;False
2022-10-16;46;0;0;1;3;False
2022-10-23;51;0;0;1;3;False
2022-10-30;46;0;0;1;2;False
2022-11-06;48;0;0;1;3;False
2022-11-13;57;0;0;1;2;False
2022-11-20;50;0;0;1;3;False
2022-11-27;52;0;0;1;3;False
2022-12-04;47;0;0;1;2;False
2022-12-11;48;0;0;1;3;False
2022-12-18;46;0;0;1;2;False
2022-12-25;53;0;5;1;3;False
2023-01-01;51;0;0;1;4;False
2023-01-08;38;0;0;1;3;False
2023-01-15;41;0;1;1;3;False
2023-01-22;39;0;0;1;3;False
2023-01-29;46;0;1;1;3;False
