date;Hospices;Gadgets;Maxine Peake;Elizabeth Holmes;air travel;isPartial
2022-01-02;1;27;84;100;26;False
2022-01-09;2;26;82;16;28;False
2022-01-16;2;23;48;11;22;False
2022-01-23;2;23;26;7;24;False
2022-01-30;1;22;13;5;27;False
2022-02-06;1;25;8;11;27;False
2022-02-13;1;22;6;8;27;False
2022-02-20;1;22;6;9;28;False
2022-02-27;2;22;3;27;24;False
2022-03-06;2;22;3;43;26;False
2022-03-13;1;23;2;38;26;False
2022-03-20;1;21;3;31;25;False
2022-03-27;2;22;3;28;27;False
2022-04-03;2;21;2;38;24;False
2022-04-10;1;21;2;40;21;False
2022-04-17;2;22;2;30;23;False
2022-04-24;1;20;2;22;24;False
2022-05-01;1;24;2;24;25;False
2022-05-08;2;19;2;16;26;False
2022-05-15;2;20;2;12;26;False
2022-05-22;1;18;1;11;25;False
2022-05-29;2;21;1;9;26;False
2022-06-05;2;22;2;8;29;False
2022-06-12;2;24;1;9;25;False
2022-06-19;1;19;1;7;23;False
2022-06-26;2;18;1;8;25;False
2022-07-03;2;18;2;9;26;False
2022-07-10;2;22;3;8;27;False
2022-07-17;1;20;3;11;26;False
2022-07-24;2;23;4;8;26;False
2022-07-31;3;22;1;6;23;False
2022-08-07;1;22;2;7;22;False
2022-08-14;1;21;2;8;22;False
2022-08-21;1;23;2;7;19;False
2022-08-28;1;22;0;5;21;False
2022-09-04;1;21;1;8;23;False
2022-09-11;1;21;1;13;20;False
2022-09-18;2;24;2;11;19;False
2022-09-25;2;25;2;9;19;False
2022-10-02;2;24;2;7;19;False
2022-10-09;2;25;3;6;18;False
2022-10-16;2;25;26;14;16;False
2022-10-23;2;30;4;7;15;False
2022-10-30;2;32;2;8;15;False
2022-11-06;2;40;2;21;17;False
2022-11-13;2;43;3;84;14;False
2022-11-20;2;50;3;34;18;False
2022-11-27;2;51;4;9;17;False
2022-12-04;1;60;3;11;15;False
2022-12-11;1;59;3;7;15;False
2022-12-18;2;41;3;8;14;False
2022-12-25;0;27;4;9;19;False
2023-01-01;1;24;1;12;22;False
2023-01-08;1;18;3;11;20;False
2023-01-15;1;21;2;23;20;False
2023-01-22;1;22;2;12;18;False
2023-01-29;2;23;3;7;20;False
