date;Children's TV;Leslie Jones;Tunisia;Michelle Yeoh;air travel;isPartial
2023-01-01;3;0;67;12;21;False
2023-01-02;4;0;64;7;24;False
2023-01-03;3;0;61;4;16;False
2023-01-04;3;4;55;5;24;False
2023-01-05;4;1;51;4;20;False
2023-01-06;5;0;47;0;20;False
2023-01-07;5;0;59;5;14;False
2023-01-08;6;2;70;6;23;False
2023-01-09;5;0;60;4;13;False
2023-01-10;3;3;56;6;21;False
2023-01-11;3;2;46;100;24;False
2023-01-12;2;0;54;53;20;False
2023-01-13;10;0;44;35;16;False
2023-01-14;2;0;50;22;15;False
2023-01-15;3;2;61;22;18;False
2023-01-16;4;0;47;16;18;False
2023-01-17;3;4;53;13;15;False
2023-01-18;5;4;33;9;21;False
2023-01-19;4;4;51;11;20;False
2023-01-20;4;0;48;12;16;False
2023-01-21;7;0;51;12;17;False
2023-01-22;3;2;63;12;19;False
2023-01-23;5;2;55;7;19;False
2023-01-24;5;2;56;28;15;False
2023-01-25;4;0;52;34;20;False
2023-01-26;3;0;48;9;18;False
2023-01-27;4;2;45;14;13;False
2023-01-28;5;0;49;12;18;False
2023-01-29;3;0;61;13;16;False
2023-01-30;0;5;49;8;27;False
2023-01-31;7;0;47;4;23;False
