date;Asus;Mark Dreyfus;Canada;Gymnastics;air travel;isPartial
2022-01-02;14;0;54;10;2;False
2022-01-09;13;0;51;11;3;False
2022-01-16;11;0;63;9;2;False
2022-01-23;12;0;58;9;2;False
2022-01-30;11;0;56;9;3;False
2022-02-06;11;0;50;9;3;False
2022-02-13;12;0;54;8;3;False
2022-02-20;12;0;53;8;3;False
2022-02-27;11;0;46;9;2;False
2022-03-06;11;0;45;9;2;False
2022-03-13;11;0;44;8;2;False
2022-03-20;11;0;43;9;2;False
2022-03-27;10;0;47;8;3;False
2022-04-03;0;0;41;8;2;False
2022-04-10;0;0;39;7;2;False
2022-04-17;0;0;39;7;2;False
2022-04-24;0;0;40;8;2;False
2022-05-01;0;0;44;9;2;False
2022-05-08;0;0;42;9;2;False
2022-05-15;0;0;44;8;3;False
2022-05-22;0;0;41;8;2;False
2022-05-29;0;0;46;8;2;False
2022-06-05;0;0;44;9;3;False
2022-06-12;0;0;53;9;2;False
2022-06-19;0;0;51;9;2;False
2022-06-26;0;0;42;9;2;False
2022-07-03;0;0;45;9;3;False
2022-07-10;0;0;45;9;3;False
2022-07-17;0;0;43;8;2;False
2022-07-24;0;0;48;16;2;False
2022-07-31;0;0;49;24;2;False
2022-08-07;0;0;52;10;2;False
2022-08-14;0;0;46;14;2;False
2022-08-21;0;0;46;12;2;False
2022-08-28;0;0;46;9;2;False
2022-09-04;0;0;66;10;2;False
2022-09-11;0;0;53;11;2;False
2022-09-18;0;0;53;10;2;False
2022-09-25;0;0;60;10;2;False
2022-10-02;0;0;50;10;2;False
2022-10-09;0;0;52;9;2;False
2022-10-16;0;0;52;9;2;False
2022-10-23;0;0;48;10;1;False
2022-10-30;0;0;48;21;1;False
2022-11-06;0;0;54;14;2;False
2022-11-13;0;0;57;9;1;False
2022-11-20;0;0;100;8;2;False
2022-11-27;0;0;94;9;2;False
2022-12-04;0;0;62;8;1;False
2022-12-11;0;0;63;7;1;False
2022-12-18;0;0;61;6;1;False
2022-12-25;0;0;65;6;2;False
2023-01-01;0;0;57;10;2;False
2023-01-08;0;0;52;9;2;False
2023-01-15;0;0;52;10;2;False
2023-01-22;0;0;51;10;2;False
2023-01-29;0;0;50;9;2;False
