date;Whisky;Media unions;Medicare Australia;US elections 2020;air travel;isPartial
2022-01-02;48;0;0;0;9;False
2022-01-09;44;0;0;0;10;False
2022-01-16;45;0;0;0;8;False
2022-01-23;56;0;0;0;9;False
2022-01-30;46;0;0;0;10;False
2022-02-06;44;0;0;0;10;False
2022-02-13;44;0;0;0;10;False
2022-02-20;41;0;0;0;10;False
2022-02-27;40;0;0;0;9;False
2022-03-06;40;0;0;0;9;False
2022-03-13;41;0;1;0;9;False
2022-03-20;39;0;0;0;9;False
2022-03-27;39;0;0;0;10;False
2022-04-03;40;0;0;0;9;False
2022-04-10;41;0;0;0;8;False
2022-04-17;42;0;0;0;8;False
2022-04-24;45;0;0;0;9;False
2022-05-01;45;0;0;0;9;False
2022-05-08;41;0;0;0;9;False
2022-05-15;47;0;0;0;10;False
2022-05-22;43;0;0;0;9;False
2022-05-29;44;0;0;0;9;False
2022-06-05;44;0;0;0;10;False
2022-06-12;51;0;0;0;9;False
2022-06-19;49;0;0;0;8;False
2022-06-26;44;0;0;0;9;False
2022-07-03;42;0;0;0;9;False
2022-07-10;43;0;0;0;10;False
2022-07-17;40;0;0;0;9;False
2022-07-24;43;0;0;0;9;False
2022-07-31;42;0;0;0;8;False
2022-08-07;41;0;0;0;8;False
2022-08-14;42;0;0;0;8;False
2022-08-21;42;0;0;0;7;False
2022-08-28;44;0;0;0;8;False
2022-09-04;43;0;0;0;8;False
2022-09-11;47;0;0;0;7;False
2022-09-18;42;0;0;0;7;False
2022-09-25;47;0;0;0;7;False
2022-10-02;47;0;0;0;7;False
2022-10-09;51;0;0;0;6;False
2022-10-16;46;0;0;0;6;False
2022-10-23;45;0;0;0;5;False
2022-10-30;47;0;0;0;5;False
2022-11-06;56;0;0;1;6;False
2022-11-13;59;0;0;0;5;False
2022-11-20;63;0;0;0;6;False
2022-11-27;71;0;0;0;6;False
2022-12-04;74;0;0;0;5;False
2022-12-11;85;0;0;0;5;False
2022-12-18;100;0;0;0;5;False
2022-12-25;88;0;0;0;7;False
2023-01-01;49;0;0;0;8;False
2023-01-08;42;0;0;0;7;False
2023-01-15;45;0;0;0;7;False
2023-01-22;61;0;0;0;7;False
2023-01-29;42;0;0;0;7;False
