date;transgender;vivienne westwood;Berlin Philharmonic;Lebanon;air travel;isPartial
2022-01-02;4;8;0;2;2;False
2022-01-09;4;7;0;2;2;False
2022-01-16;4;6;0;2;2;False
2022-01-23;4;6;0;2;2;False
2022-01-30;4;6;0;2;2;False
2022-02-06;3;6;0;2;2;False
2022-02-13;4;6;0;2;2;False
2022-02-20;4;5;0;2;2;False
2022-02-27;3;5;0;2;2;False
2022-03-06;3;5;0;2;2;False
2022-03-13;3;5;0;2;2;False
2022-03-20;5;5;0;2;2;False
2022-03-27;6;5;0;2;2;False
2022-04-03;5;5;0;2;2;False
2022-04-10;4;5;0;2;2;False
2022-04-17;4;5;0;2;2;False
2022-04-24;4;5;0;2;2;False
2022-05-01;4;6;0;2;2;False
2022-05-08;5;5;0;2;2;False
2022-05-15;4;5;0;3;2;False
2022-05-22;3;5;0;2;2;False
2022-05-29;3;7;0;2;2;False
2022-06-05;4;7;0;2;2;False
2022-06-12;3;6;0;2;2;False
2022-06-19;5;6;0;2;2;False
2022-06-26;4;5;0;2;2;False
2022-07-03;6;5;0;2;2;False
2022-07-10;4;5;0;2;2;False
2022-07-17;4;6;0;2;2;False
2022-07-24;4;7;0;2;2;False
2022-07-31;4;6;0;2;2;False
2022-08-07;3;6;0;2;2;False
2022-08-14;3;6;0;2;2;False
2022-08-21;3;7;0;2;2;False
2022-08-28;3;7;0;2;2;False
2022-09-04;4;6;0;2;2;False
2022-09-11;3;8;0;2;2;False
2022-09-18;4;7;0;2;2;False
2022-09-25;3;7;0;2;2;False
2022-10-02;3;7;0;2;2;False
2022-10-09;3;7;0;2;1;False
2022-10-16;3;7;0;3;1;False
2022-10-23;5;7;0;3;1;False
2022-10-30;3;7;0;3;1;False
2022-11-06;4;9;0;2;1;False
2022-11-13;4;9;0;2;1;False
2022-11-20;3;10;0;2;1;False
2022-11-27;3;9;0;2;1;False
2022-12-04;3;9;0;2;1;False
2022-12-11;3;9;0;3;1;False
2022-12-18;5;9;0;2;1;False
2022-12-25;4;100;0;2;2;False
2023-01-01;3;15;0;2;2;False
2023-01-08;3;10;0;2;2;False
2023-01-15;5;8;0;2;2;False
2023-01-22;6;8;0;2;1;False
2023-01-29;5;7;0;2;2;False
