date;cancer;Medicine;Alexandria Ocasio-Cortez;Leeds;air travel;isPartial
2023-01-01;21;7;0;47;1;False
2023-01-02;25;8;0;55;1;False
2023-01-03;26;8;0;48;0;False
2023-01-04;25;9;0;85;1;False
2023-01-05;25;9;0;55;1;False
2023-01-06;32;8;0;51;1;False
2023-01-07;22;7;0;53;0;False
2023-01-08;23;8;0;90;1;False
2023-01-09;24;8;0;60;0;False
2023-01-10;29;9;0;56;1;False
2023-01-11;26;8;0;53;1;False
2023-01-12;32;9;0;64;1;False
2023-01-13;27;8;0;100;0;False
2023-01-14;23;7;0;62;0;False
2023-01-15;24;7;0;50;1;False
2023-01-16;24;9;0;57;1;False
2023-01-17;25;9;0;58;0;False
2023-01-18;24;8;0;86;1;False
2023-01-19;23;8;0;63;1;False
2023-01-20;24;8;0;67;0;False
2023-01-21;21;7;0;64;0;False
2023-01-22;22;7;0;82;1;False
2023-01-23;25;8;0;60;1;False
2023-01-24;25;9;0;57;0;False
2023-01-25;29;9;0;58;1;False
2023-01-26;26;8;0;57;1;False
2023-01-27;27;8;0;60;0;False
2023-01-28;21;7;0;80;1;False
2023-01-29;24;7;0;58;0;False
2023-01-30;30;9;0;62;1;False
2023-01-31;28;8;0;67;1;False
