date;jamaica;omicron;Pelé;Cardi B;air travel;isPartial
2022-01-02;15;100;0;3;2;False
2022-01-09;15;54;0;2;3;False
2022-01-16;14;41;0;2;2;False
2022-01-23;15;41;0;3;2;False
2022-01-30;15;34;0;2;2;False
2022-02-06;14;24;0;2;2;False
2022-02-13;15;18;0;2;2;False
2022-02-20;15;14;0;2;2;False
2022-02-27;13;12;0;2;2;False
2022-03-06;13;16;0;2;2;False
2022-03-13;14;18;0;2;2;False
2022-03-20;22;20;0;2;2;False
2022-03-27;16;16;0;3;2;False
2022-04-03;14;12;0;3;2;False
2022-04-10;13;9;0;3;2;False
2022-04-17;12;7;0;2;2;False
2022-04-24;12;5;0;2;2;False
2022-05-01;13;6;0;3;2;False
2022-05-08;14;4;0;2;2;False
2022-05-15;12;4;0;2;2;False
2022-05-22;13;4;0;2;2;False
2022-05-29;12;4;0;3;2;False
2022-06-05;13;4;0;2;3;False
2022-06-12;13;6;0;2;2;False
2022-06-19;13;7;0;2;2;False
2022-06-26;12;7;0;2;2;False
2022-07-03;12;8;0;3;2;False
2022-07-10;13;6;0;4;2;False
2022-07-17;13;4;0;3;2;False
2022-07-24;14;3;0;2;2;False
2022-07-31;19;3;0;2;2;False
2022-08-07;16;2;0;2;2;False
2022-08-14;12;2;0;2;2;False
2022-08-21;13;2;0;2;2;False
2022-08-28;13;3;0;2;2;False
2022-09-04;12;2;0;4;2;False
2022-09-11;12;2;0;5;2;False
2022-09-18;12;2;0;2;2;False
2022-09-25;13;2;0;3;2;False
2022-10-02;12;3;0;2;2;False
2022-10-09;11;3;0;2;2;False
2022-10-16;12;2;0;3;1;False
2022-10-23;11;2;0;3;1;False
2022-10-30;11;1;0;5;1;False
2022-11-06;11;1;0;2;1;False
2022-11-13;10;1;0;2;1;False
2022-11-20;10;1;0;2;2;False
2022-11-27;10;1;0;2;2;False
2022-12-04;9;1;1;2;1;False
2022-12-11;9;1;0;2;1;False
2022-12-18;10;2;1;2;1;False
2022-12-25;12;2;3;2;2;False
2023-01-01;15;1;0;2;2;False
2023-01-08;14;1;0;2;2;False
2023-01-15;14;1;0;2;2;False
2023-01-22;11;1;0;2;2;False
2023-01-29;11;1;0;2;2;False
