date;Telecoms;madonna;Prince Andrew;Apple Arcade;air travel;isPartial
2022-01-02;1;11;70;1;3;False
2022-01-09;1;10;88;1;4;False
2022-01-16;1;9;34;1;3;False
2022-01-23;1;10;19;1;3;False
2022-01-30;1;11;13;1;4;False
2022-02-06;2;15;9;0;4;False
2022-02-13;1;12;52;1;4;False
2022-02-20;1;13;11;1;4;False
2022-02-27;1;12;6;1;3;False
2022-03-06;1;14;6;1;3;False
2022-03-13;1;13;3;0;3;False
2022-03-20;1;10;4;0;3;False
2022-03-27;1;9;9;0;4;False
2022-04-03;1;14;8;1;3;False
2022-04-10;1;11;5;1;3;False
2022-04-17;1;11;4;1;3;False
2022-04-24;1;11;5;0;3;False
2022-05-01;1;11;4;1;3;False
2022-05-08;2;12;3;0;3;False
2022-05-15;1;11;3;1;4;False
2022-05-22;1;9;4;0;3;False
2022-05-29;1;12;31;0;3;False
2022-06-05;1;11;11;0;4;False
2022-06-12;1;10;8;0;3;False
2022-06-19;1;10;4;0;3;False
2022-06-26;1;10;5;0;3;False
2022-07-03;1;7;4;0;4;False
2022-07-10;1;8;3;0;4;False
2022-07-17;1;8;7;0;3;False
2022-07-24;1;8;3;1;3;False
2022-07-31;1;9;3;1;3;False
2022-08-07;1;11;3;1;3;False
2022-08-14;1;13;2;0;3;False
2022-08-21;1;13;3;1;3;False
2022-08-28;1;13;3;1;3;False
2022-09-04;1;10;23;0;3;False
2022-09-11;1;9;100;1;3;False
2022-09-18;1;9;47;1;3;False
2022-09-25;1;11;6;1;3;False
2022-10-02;1;8;5;1;3;False
2022-10-09;1;21;3;1;2;False
2022-10-16;1;11;4;1;2;False
2022-10-23;1;13;3;1;2;False
2022-10-30;1;14;2;0;2;False
2022-11-06;1;13;5;1;2;False
2022-11-13;1;10;6;1;2;False
2022-11-20;1;10;4;0;2;False
2022-11-27;1;11;4;1;2;False
2022-12-04;1;8;3;1;2;False
2022-12-11;1;9;3;1;2;False
2022-12-18;1;10;11;1;2;False
2022-12-25;0;18;28;1;3;False
2023-01-01;1;11;7;1;3;False
2023-01-08;1;10;5;1;3;False
2023-01-15;1;59;3;0;3;False
2023-01-22;1;17;7;1;2;False
2023-01-29;1;14;4;1;3;False
