date;History;Slovenia;Reform UK;Somalia;air travel;isPartial
2022-01-02;89;2;0;1;2;False
2022-01-09;95;2;0;1;2;False
2022-01-16;83;2;0;1;2;False
2022-01-23;92;2;0;1;2;False
2022-01-30;99;2;0;2;2;False
2022-02-06;90;2;0;2;2;False
2022-02-13;94;2;0;1;2;False
2022-02-20;98;2;0;3;2;False
2022-02-27;97;2;0;3;2;False
2022-03-06;89;2;0;2;2;False
2022-03-13;88;2;0;2;2;False
2022-03-20;87;3;0;2;2;False
2022-03-27;86;2;0;2;2;False
2022-04-03;91;2;0;2;2;False
2022-04-10;84;2;0;2;2;False
2022-04-17;85;2;0;2;2;False
2022-04-24;88;2;0;2;2;False
2022-05-01;99;2;1;1;2;False
2022-05-08;89;2;1;1;2;False
2022-05-15;97;2;0;3;2;False
2022-05-22;88;2;0;2;2;False
2022-05-29;87;2;0;2;2;False
2022-06-05;90;3;0;1;2;False
2022-06-12;85;3;1;2;2;False
2022-06-19;85;2;1;2;2;False
2022-06-26;84;2;1;2;2;False
2022-07-03;83;2;0;1;2;False
2022-07-10;82;2;0;2;2;False
2022-07-17;76;2;0;2;2;False
2022-07-24;76;2;0;2;2;False
2022-07-31;85;2;0;1;2;False
2022-08-07;82;3;0;1;2;False
2022-08-14;80;2;0;1;2;False
2022-08-21;83;2;0;1;2;False
2022-08-28;90;2;0;1;2;False
2022-09-04;91;3;0;1;2;False
2022-09-11;93;3;0;1;2;False
2022-09-18;96;3;0;1;1;False
2022-09-25;91;2;0;1;2;False
2022-10-02;100;2;0;2;1;False
2022-10-09;95;2;1;2;1;False
2022-10-16;93;1;1;2;1;False
2022-10-23;88;1;1;2;1;False
2022-10-30;91;1;1;2;1;False
2022-11-06;94;1;1;1;1;False
2022-11-13;91;2;1;2;1;False
2022-11-20;88;2;1;2;1;False
2022-11-27;88;1;2;2;1;False
2022-12-04;85;1;1;1;1;False
2022-12-11;78;2;1;2;1;False
2022-12-18;80;2;1;2;1;False
2022-12-25;77;2;0;1;1;False
2023-01-01;88;2;1;2;2;False
2023-01-08;94;2;1;2;2;False
2023-01-15;97;2;1;2;2;False
2023-01-22;90;2;1;2;1;False
2023-01-29;96;2;1;1;2;False
