date;cost of living;Jay-Z;Agatha Christie;kansas;air travel;isPartial
2022-01-02;2;0;2;2;2;False
2022-01-09;2;0;2;2;3;False
2022-01-16;3;0;1;2;2;False
2022-01-23;3;0;1;3;2;False
2022-01-30;3;0;1;4;3;False
2022-02-06;3;0;2;2;3;False
2022-02-13;3;0;2;2;3;False
2022-02-20;3;0;2;2;3;False
2022-02-27;3;0;2;2;2;False
2022-03-06;4;0;2;1;2;False
2022-03-13;4;0;1;2;2;False
2022-03-20;5;0;1;2;2;False
2022-03-27;5;0;2;2;2;False
2022-04-03;5;0;2;2;2;False
2022-04-10;4;0;2;2;2;False
2022-04-17;4;0;2;2;2;False
2022-04-24;5;0;2;2;2;False
2022-05-01;5;0;2;2;2;False
2022-05-08;5;0;2;2;2;False
2022-05-15;6;0;2;2;2;False
2022-05-22;15;0;2;2;2;False
2022-05-29;9;0;2;2;2;False
2022-06-05;12;0;1;2;3;False
2022-06-12;18;0;1;2;2;False
2022-06-19;13;0;1;2;2;False
2022-06-26;15;0;1;2;2;False
2022-07-03;28;0;1;2;2;False
2022-07-10;93;0;1;2;3;False
2022-07-17;37;0;1;2;2;False
2022-07-24;22;0;2;2;2;False
2022-07-31;19;0;2;3;2;False
2022-08-07;22;0;2;2;2;False
2022-08-14;23;0;2;2;2;False
2022-08-21;33;0;2;2;2;False
2022-08-28;51;0;2;2;2;False
2022-09-04;48;0;2;2;2;False
2022-09-11;46;0;2;3;2;False
2022-09-18;64;0;2;2;2;False
2022-09-25;100;0;2;2;2;False
2022-10-02;65;0;2;2;2;False
2022-10-09;28;0;3;2;2;False
2022-10-16;29;0;2;2;2;False
2022-10-23;32;0;2;2;1;False
2022-10-30;55;0;2;2;1;False
2022-11-06;73;0;2;2;2;False
2022-11-13;31;0;3;2;1;False
2022-11-20;25;0;4;2;2;False
2022-11-27;16;0;4;2;2;False
2022-12-04;18;0;4;2;1;False
2022-12-11;18;0;3;2;1;False
2022-12-18;11;0;3;2;1;False
2022-12-25;10;0;5;2;2;False
2023-01-01;17;0;3;2;2;False
2023-01-08;14;0;2;2;2;False
2023-01-15;15;0;3;3;2;False
2023-01-22;13;0;3;3;2;False
2023-01-29;15;0;2;4;2;False
