date;Penny Wong;Famine;john lydon;Chris Skidmore;air travel;isPartial
2022-01-02;1;26;6;2;57;False
2022-01-09;1;32;5;1;65;False
2022-01-16;1;28;5;1;48;False
2022-01-23;0;27;3;0;53;False
2022-01-30;2;29;7;1;61;False
2022-02-06;0;23;4;2;60;False
2022-02-13;0;22;8;1;61;False
2022-02-20;0;36;3;0;62;False
2022-02-27;1;39;3;1;54;False
2022-03-06;0;36;3;0;57;False
2022-03-13;0;39;4;1;56;False
2022-03-20;0;34;4;0;55;False
2022-03-27;1;27;7;0;59;False
2022-04-03;0;25;8;0;54;False
2022-04-10;0;23;10;1;46;False
2022-04-17;0;22;8;2;51;False
2022-04-24;0;23;7;1;53;False
2022-05-01;0;25;8;0;55;False
2022-05-08;0;27;9;0;56;False
2022-05-15;1;29;9;1;59;False
2022-05-22;7;29;10;4;55;False
2022-05-29;1;25;64;1;57;False
2022-06-05;1;29;50;0;63;False
2022-06-12;0;25;31;0;57;False
2022-06-19;0;27;26;0;51;False
2022-06-26;0;25;14;0;55;False
2022-07-03;1;25;11;4;58;False
2022-07-10;2;21;10;3;60;False
2022-07-17;0;20;6;3;57;False
2022-07-24;1;24;9;0;57;False
2022-07-31;1;22;4;2;51;False
2022-08-07;0;21;3;3;49;False
2022-08-14;0;25;5;1;49;False
2022-08-21;1;23;3;2;42;False
2022-08-28;0;28;7;0;47;False
2022-09-04;1;39;12;5;50;False
2022-09-11;0;42;13;2;44;False
2022-09-18;0;31;8;0;43;False
2022-09-25;0;25;4;4;43;False
2022-10-02;1;28;4;2;41;False
2022-10-09;2;28;3;2;40;False
2022-10-16;2;29;5;4;36;False
2022-10-23;0;28;4;3;34;False
2022-10-30;0;25;5;2;33;False
2022-11-06;0;30;7;0;37;False
2022-11-13;1;34;6;2;31;False
2022-11-20;0;29;3;1;39;False
2022-11-27;1;29;4;5;38;False
2022-12-04;0;32;1;1;33;False
2022-12-11;1;25;3;0;34;False
2022-12-18;1;21;3;1;31;False
2022-12-25;0;30;8;0;42;False
2023-01-01;0;27;5;0;48;False
2023-01-08;0;29;54;5;45;False
2023-01-15;0;29;38;6;44;False
2023-01-22;0;27;7;2;40;False
2023-01-29;2;25;100;1;43;False
