date;Mastodon;True crime books;covid;Carole King;air travel;isPartial
2022-01-02;2;0;0;2;16;False
2022-01-09;1;1;0;3;18;False
2022-01-16;2;0;0;2;14;False
2022-01-23;2;0;0;3;15;False
2022-01-30;2;0;0;3;17;False
2022-02-06;2;0;0;49;17;False
2022-02-13;1;0;0;14;17;False
2022-02-20;2;0;0;5;18;False
2022-02-27;1;0;0;5;15;False
2022-03-06;2;0;0;7;16;False
2022-03-13;1;1;0;5;16;False
2022-03-20;1;0;0;5;16;False
2022-03-27;2;1;0;5;17;False
2022-04-03;1;1;0;4;15;False
2022-04-10;2;0;0;5;13;False
2022-04-17;2;0;0;4;15;False
2022-04-24;10;0;0;2;15;False
2022-05-01;3;1;0;4;16;False
2022-05-08;2;0;0;3;16;False
2022-05-15;2;0;0;3;17;False
2022-05-22;2;0;0;2;16;False
2022-05-29;2;0;0;2;16;False
2022-06-05;2;0;0;3;18;False
2022-06-12;2;1;0;2;16;False
2022-06-19;2;1;0;2;15;False
2022-06-26;2;1;0;2;16;False
2022-07-03;2;0;0;2;17;False
2022-07-10;2;0;0;3;17;False
2022-07-17;2;0;0;2;16;False
2022-07-24;2;0;0;3;16;False
2022-07-31;1;0;0;3;15;False
2022-08-07;2;0;0;3;14;False
2022-08-14;1;0;0;3;14;False
2022-08-21;1;0;0;4;12;False
2022-08-28;3;1;0;5;13;False
2022-09-04;1;0;0;4;14;False
2022-09-11;1;0;0;17;12;False
2022-09-18;2;0;0;5;12;False
2022-09-25;1;0;0;4;12;False
2022-10-02;1;0;0;6;12;False
2022-10-09;1;0;0;6;11;False
2022-10-16;1;1;0;4;10;False
2022-10-23;5;1;0;3;10;False
2022-10-30;27;0;0;4;9;False
2022-11-06;100;0;0;4;11;False
2022-11-13;60;0;0;4;9;False
2022-11-20;28;1;0;3;11;False
2022-11-27;12;1;0;2;11;False
2022-12-04;8;0;0;3;9;False
2022-12-11;17;1;0;3;10;False
2022-12-18;21;1;0;3;9;False
2022-12-25;7;1;0;2;12;False
2023-01-01;7;1;0;2;14;False
2023-01-08;5;1;0;2;13;False
2023-01-15;6;0;0;3;12;False
2023-01-22;7;0;0;3;11;False
2023-01-29;7;0;0;2;12;False
