date;Oscars 2023;North Korea;Wim Wenders;Vermont;air travel;isPartial
2022-01-02;0;49;0;19;32;False
2022-01-09;0;45;1;17;34;False
2022-01-16;0;36;0;18;27;False
2022-01-23;0;37;1;18;30;False
2022-01-30;0;41;0;16;34;False
2022-02-06;0;37;1;17;34;False
2022-02-13;0;37;1;15;34;False
2022-02-20;1;93;0;15;34;False
2022-02-27;0;100;1;19;30;False
2022-03-06;0;49;0;14;32;False
2022-03-13;0;38;1;16;32;False
2022-03-20;0;61;1;15;31;False
2022-03-27;2;36;0;17;33;False
2022-04-03;0;33;0;16;30;False
2022-04-10;0;32;0;16;26;False
2022-04-17;0;31;1;15;29;False
2022-04-24;0;27;0;16;30;False
2022-05-01;0;31;1;16;31;False
2022-05-08;0;53;0;19;31;False
2022-05-15;0;52;1;15;33;False
2022-05-22;1;30;1;14;31;False
2022-05-29;1;29;0;14;32;False
2022-06-05;0;33;0;15;35;False
2022-06-12;0;27;0;13;31;False
2022-06-19;0;27;2;15;29;False
2022-06-26;1;35;2;16;31;False
2022-07-03;1;24;1;16;32;False
2022-07-10;1;41;1;17;34;False
2022-07-17;0;23;1;17;32;False
2022-07-24;0;37;1;19;32;False
2022-07-31;1;38;1;21;28;False
2022-08-07;0;38;1;19;28;False
2022-08-14;1;34;1;11;27;False
2022-08-21;0;27;0;18;24;False
2022-08-28;1;25;1;15;26;False
2022-09-04;1;37;1;15;28;False
2022-09-11;1;36;1;18;24;False
2022-09-18;1;41;1;16;23;False
2022-09-25;1;33;1;18;24;False
2022-10-02;0;69;1;20;23;False
2022-10-09;1;43;1;16;22;False
2022-10-16;1;31;0;18;20;False
2022-10-23;1;36;0;17;19;False
2022-10-30;2;68;1;17;19;False
2022-11-06;2;35;0;20;21;False
2022-11-13;1;64;0;17;18;False
2022-11-20;3;68;1;13;22;False
2022-11-27;2;68;0;16;21;False
2022-12-04;3;66;1;17;18;False
2022-12-11;4;35;1;16;19;False
2022-12-18;8;46;1;19;18;False
2022-12-25;6;46;1;26;23;False
2023-01-01;9;45;0;21;27;False
2023-01-08;20;33;1;18;25;False
2023-01-15;17;26;1;17;24;False
2023-01-22;73;30;1;16;22;False
2023-01-29;30;42;0;17;24;False
