date;Mallorca holidays;Ukraine;Sarah Everard;Jeffrey Epstein;air travel;isPartial
2023-01-01;1;82;0;1;3;False
2023-01-02;1;82;0;2;3;False
2023-01-03;1;80;0;2;2;False
2023-01-04;1;82;0;1;3;False
2023-01-05;1;80;1;2;3;False
2023-01-06;1;81;0;1;3;False
2023-01-07;1;73;1;1;2;False
2023-01-08;1;77;0;1;3;False
2023-01-09;1;74;0;1;2;False
2023-01-10;1;80;1;1;3;False
2023-01-11;1;77;0;1;3;False
2023-01-12;1;80;0;1;3;False
2023-01-13;0;78;0;2;2;False
2023-01-14;1;80;0;1;2;False
2023-01-15;1;76;1;1;3;False
2023-01-16;1;79;2;1;3;False
2023-01-17;1;79;2;1;2;False
2023-01-18;1;84;1;1;3;False
2023-01-19;1;79;0;1;3;False
2023-01-20;1;86;1;1;2;False
2023-01-21;0;83;0;1;2;False
2023-01-22;1;84;0;1;3;False
2023-01-23;1;84;1;2;3;False
2023-01-24;0;92;0;2;2;False
2023-01-25;1;100;0;1;3;False
2023-01-26;1;89;1;1;3;False
2023-01-27;0;81;0;2;2;False
2023-01-28;1;78;0;1;3;False
2023-01-29;1;80;0;1;2;False
2023-01-30;1;82;0;1;4;False
2023-01-31;0;82;1;1;3;False
