date;Zombies;Oscar Niemeyer;Madonna;David Jonsson;air travel;isPartial
2022-01-02;12;0;19;0;6;False
2022-01-09;12;0;18;0;7;False
2022-01-16;11;0;16;0;5;False
2022-01-23;12;0;17;0;6;False
2022-01-30;13;0;18;0;6;False
2022-02-06;13;0;26;0;6;False
2022-02-13;14;0;21;0;6;False
2022-02-20;12;0;23;0;6;False
2022-02-27;11;0;21;0;6;False
2022-03-06;10;0;23;0;6;False
2022-03-13;11;0;21;0;6;False
2022-03-20;9;0;17;0;6;False
2022-03-27;10;0;16;0;6;False
2022-04-03;13;0;23;0;6;False
2022-04-10;13;0;18;0;5;False
2022-04-17;12;0;18;0;5;False
2022-04-24;11;0;19;0;6;False
2022-05-01;12;0;19;0;6;False
2022-05-08;12;0;21;0;6;False
2022-05-15;13;0;19;0;6;False
2022-05-22;12;0;15;0;6;False
2022-05-29;12;0;20;0;6;False
2022-06-05;11;0;18;0;7;False
2022-06-12;11;0;16;0;6;False
2022-06-19;11;0;18;0;5;False
2022-06-26;13;0;17;0;6;False
2022-07-03;14;0;12;0;6;False
2022-07-10;22;0;13;0;6;False
2022-07-17;26;0;14;0;6;False
2022-07-24;23;0;14;0;6;False
2022-07-31;17;0;16;0;5;False
2022-08-07;29;0;19;0;5;False
2022-08-14;21;0;22;0;5;False
2022-08-21;15;0;22;0;4;False
2022-08-28;15;0;22;0;5;False
2022-09-04;13;0;16;0;5;False
2022-09-11;12;0;16;0;5;False
2022-09-18;14;0;16;0;4;False
2022-09-25;11;0;18;0;4;False
2022-10-02;12;0;14;0;4;False
2022-10-09;12;0;36;0;4;False
2022-10-16;13;0;18;0;4;False
2022-10-23;16;0;22;0;3;False
2022-10-30;13;0;23;0;3;False
2022-11-06;11;0;22;0;4;False
2022-11-13;10;0;17;0;3;False
2022-11-20;8;0;16;0;4;False
2022-11-27;10;0;18;0;4;False
2022-12-04;9;0;14;0;3;False
2022-12-11;8;0;15;0;3;False
2022-12-18;11;0;17;0;3;False
2022-12-25;13;0;31;0;4;False
2023-01-01;12;0;18;0;5;False
2023-01-08;10;0;17;0;5;False
2023-01-15;12;0;100;0;5;False
2023-01-22;13;0;28;0;4;False
2023-01-29;12;0;23;0;4;False
