date;brit awards;PGA Tour;Eid al-Adha;retail;air travel;isPartial
2022-01-02;1;7;0;62;6;False
2022-01-09;1;10;0;61;7;False
2022-01-16;3;10;0;57;5;False
2022-01-23;3;11;0;60;6;False
2022-01-30;9;10;0;59;6;False
2022-02-06;100;11;0;62;6;False
2022-02-13;4;13;0;68;6;False
2022-02-20;2;13;0;64;6;False
2022-02-27;1;15;0;57;6;False
2022-03-06;1;19;0;59;6;False
2022-03-13;1;19;0;58;6;False
2022-03-20;1;13;0;60;6;False
2022-03-27;1;12;0;56;6;False
2022-04-03;1;16;0;0;6;False
2022-04-10;1;13;0;0;5;False
2022-04-17;0;11;0;0;5;False
2022-04-24;1;9;0;0;6;False
2022-05-01;1;13;1;0;6;False
2022-05-08;1;12;0;0;6;False
2022-05-15;1;22;0;0;6;False
2022-05-22;1;15;1;0;6;False
2022-05-29;1;15;1;0;6;False
2022-06-05;1;17;1;0;7;False
2022-06-12;1;23;1;0;6;False
2022-06-19;1;20;1;0;5;False
2022-06-26;1;13;2;0;6;False
2022-07-03;1;11;3;0;6;False
2022-07-10;0;15;1;0;6;False
2022-07-17;1;13;0;0;6;False
2022-07-24;0;11;0;0;6;False
2022-07-31;0;10;0;0;5;False
2022-08-07;1;14;0;0;5;False
2022-08-14;1;13;0;0;5;False
2022-08-21;1;16;0;0;4;False
2022-08-28;1;13;0;0;5;False
2022-09-04;1;7;0;0;5;False
2022-09-11;0;9;0;0;5;False
2022-09-18;0;7;0;0;4;False
2022-09-25;0;7;0;0;4;False
2022-10-02;1;8;0;0;4;False
2022-10-09;1;9;0;0;4;False
2022-10-16;1;10;0;0;4;False
2022-10-23;1;10;0;0;3;False
2022-10-30;1;7;0;0;3;False
2022-11-06;1;7;0;0;4;False
2022-11-13;1;8;0;0;3;False
2022-11-20;1;5;0;0;4;False
2022-11-27;1;5;0;0;4;False
2022-12-04;1;4;0;0;3;False
2022-12-11;0;3;0;0;3;False
2022-12-18;1;2;0;0;3;False
2022-12-25;1;2;0;0;4;False
2023-01-01;2;6;0;0;5;False
2023-01-08;8;8;0;0;5;False
2023-01-15;5;9;0;0;5;False
2023-01-22;4;13;0;0;4;False
2023-01-29;6;11;0;0;4;False
