date;Ange Postecoglou;Andalucia holidays;Norwich City;Pedro Almodóvar;air travel;isPartial
2022-01-02;1;0;20;0;10;False
2022-01-09;1;0;53;0;11;False
2022-01-16;1;0;42;0;9;False
2022-01-23;1;0;20;0;10;False
2022-01-30;4;0;31;0;11;False
2022-02-06;2;0;57;0;11;False
2022-02-13;2;0;39;0;11;False
2022-02-20;1;0;31;0;11;False
2022-02-27;1;0;50;0;10;False
2022-03-06;2;0;38;0;10;False
2022-03-13;1;0;30;0;10;False
2022-03-20;2;0;13;0;10;False
2022-03-27;1;1;20;0;11;False
2022-04-03;4;0;18;0;10;False
2022-04-10;2;0;100;0;9;False
2022-04-17;1;0;35;0;9;False
2022-04-24;2;0;28;0;10;False
2022-05-01;3;0;21;0;10;False
2022-05-08;7;0;41;0;10;False
2022-05-15;4;0;31;0;11;False
2022-05-22;1;0;40;0;10;False
2022-05-29;1;0;17;0;10;False
2022-06-05;1;0;18;0;12;False
2022-06-12;1;0;17;0;10;False
2022-06-19;1;0;19;0;9;False
2022-06-26;1;0;23;0;10;False
2022-07-03;1;0;20;0;11;False
2022-07-10;0;0;24;0;11;False
2022-07-17;1;0;30;0;10;False
2022-07-24;0;0;34;0;10;False
2022-07-31;1;1;37;0;9;False
2022-08-07;0;1;44;0;9;False
2022-08-14;1;0;47;0;9;False
2022-08-21;1;0;48;0;8;False
2022-08-28;3;0;46;0;9;False
2022-09-04;6;0;22;0;9;False
2022-09-11;4;0;46;0;8;False
2022-09-18;2;0;18;0;8;False
2022-09-25;1;0;27;0;8;False
2022-10-02;1;0;36;0;8;False
2022-10-09;1;0;28;0;7;False
2022-10-16;1;0;38;0;7;False
2022-10-23;2;0;36;0;6;False
2022-10-30;1;0;33;0;6;False
2022-11-06;2;0;28;0;7;False
2022-11-13;2;0;16;0;6;False
2022-11-20;2;0;13;0;7;False
2022-11-27;1;0;13;0;7;False
2022-12-04;1;0;18;0;6;False
2022-12-11;1;0;26;0;6;False
2022-12-18;1;0;19;0;6;False
2022-12-25;1;0;54;0;8;False
2023-01-01;3;1;41;0;9;False
2023-01-08;1;0;36;0;8;False
2023-01-15;1;0;33;0;8;False
2023-01-22;1;0;24;0;7;False
2023-01-29;2;0;33;0;8;False
