date;George Floyd;Austria holidays;Breeders;The Purge: Anarchy;air travel;isPartial
2022-01-02;45;12;47;1;34;False
2022-01-09;17;11;49;0;39;False
2022-01-16;13;8;41;1;29;False
2022-01-23;11;9;44;1;32;False
2022-01-30;12;8;40;1;37;False
2022-02-06;23;8;38;0;36;False
2022-02-13;13;6;38;1;37;False
2022-02-20;13;6;37;1;37;False
2022-02-27;10;4;35;1;33;False
2022-03-06;9;4;37;1;34;False
2022-03-13;10;3;41;1;34;False
2022-03-20;10;4;32;1;33;False
2022-03-27;11;3;32;0;35;False
2022-04-03;10;4;33;0;33;False
2022-04-10;10;4;36;1;28;False
2022-04-17;9;3;32;0;31;False
2022-04-24;9;4;30;1;32;False
2022-05-01;9;3;35;1;33;False
2022-05-08;10;2;33;1;34;False
2022-05-15;11;4;34;0;35;False
2022-05-22;21;4;28;0;34;False
2022-05-29;12;3;33;0;34;False
2022-06-05;10;4;34;0;38;False
2022-06-12;11;3;35;0;34;False
2022-06-19;10;3;31;1;31;False
2022-06-26;8;3;41;1;33;False
2022-07-03;12;4;34;0;35;False
2022-07-10;8;3;53;0;36;False
2022-07-17;9;4;47;1;35;False
2022-07-24;9;5;46;0;34;False
2022-07-31;9;5;40;1;31;False
2022-08-07;8;3;39;1;30;False
2022-08-14;8;5;36;0;29;False
2022-08-21;6;4;34;1;26;False
2022-08-28;7;5;39;1;28;False
2022-09-04;9;4;33;1;30;False
2022-09-11;9;4;35;1;26;False
2022-09-18;10;4;32;1;26;False
2022-09-25;7;4;35;0;26;False
2022-10-02;10;3;35;1;25;False
2022-10-09;11;3;34;1;24;False
2022-10-16;33;4;33;1;22;False
2022-10-23;14;6;44;2;20;False
2022-10-30;14;4;100;1;20;False
2022-11-06;9;4;43;0;23;False
2022-11-13;9;4;26;0;19;False
2022-11-20;7;3;25;0;24;False
2022-11-27;9;4;24;0;23;False
2022-12-04;9;4;18;0;20;False
2022-12-11;8;4;22;1;20;False
2022-12-18;6;6;27;0;19;False
2022-12-25;6;9;31;0;25;False
2023-01-01;6;10;34;0;29;False
2023-01-08;8;9;30;0;27;False
2023-01-15;12;8;30;0;26;False
2023-01-22;12;7;30;0;24;False
2023-01-29;12;7;32;0;26;False
