date;cheryl;Hillary Clinton;Disability royal commission;chicago;air travel;isPartial
2022-01-02;18;2;0;90;9;False
2022-01-09;20;3;0;89;10;False
2022-01-16;23;2;0;92;8;False
2022-01-23;24;2;0;91;9;False
2022-01-30;21;1;0;79;10;False
2022-02-06;19;1;0;80;10;False
2022-02-13;14;7;0;87;10;False
2022-02-20;16;3;0;81;10;False
2022-02-27;11;2;0;79;9;False
2022-03-06;13;2;0;79;10;False
2022-03-13;14;2;0;87;9;False
2022-03-20;13;2;0;76;9;False
2022-03-27;14;2;0;77;10;False
2022-04-03;14;1;0;76;9;False
2022-04-10;20;1;0;79;8;False
2022-04-17;19;1;0;79;9;False
2022-04-24;13;1;0;80;9;False
2022-05-01;15;2;0;82;9;False
2022-05-08;15;1;0;82;9;False
2022-05-15;15;1;0;85;10;False
2022-05-22;16;1;0;79;9;False
2022-05-29;23;2;0;79;9;False
2022-06-05;17;2;0;82;11;False
2022-06-12;15;2;0;78;9;False
2022-06-19;13;2;0;71;9;False
2022-06-26;15;1;0;67;9;False
2022-07-03;13;1;0;100;10;False
2022-07-10;16;1;0;70;10;False
2022-07-17;14;1;0;69;10;False
2022-07-24;19;1;0;80;10;False
2022-07-31;15;1;0;71;9;False
2022-08-07;17;1;0;70;8;False
2022-08-14;15;2;0;69;8;False
2022-08-21;15;1;0;77;7;False
2022-08-28;13;1;0;67;8;False
2022-09-04;13;2;0;56;8;False
2022-09-11;12;2;0;71;7;False
2022-09-18;14;2;0;59;7;False
2022-09-25;13;1;0;58;7;False
2022-10-02;13;1;0;68;7;False
2022-10-09;36;1;0;70;7;False
2022-10-16;15;1;0;60;6;False
2022-10-23;14;2;0;61;6;False
2022-10-30;20;2;0;58;6;False
2022-11-06;14;1;0;54;6;False
2022-11-13;13;1;0;58;5;False
2022-11-20;13;1;0;47;7;False
2022-11-27;13;1;0;56;6;False
2022-12-04;17;1;0;52;5;False
2022-12-11;16;1;0;51;6;False
2022-12-18;16;1;0;70;5;False
2022-12-25;23;1;0;61;7;False
2023-01-01;16;1;0;59;8;False
2023-01-08;13;1;0;59;7;False
2023-01-15;17;1;0;59;7;False
2023-01-22;23;1;0;60;7;False
2023-01-29;22;1;0;67;7;False
