date;Danny Boyle;Podcasts;Travel websites;Transport policy;air travel;isPartial
2022-01-02;4;92;1;1;36;False
2022-01-09;3;100;1;2;42;False
2022-01-16;5;88;0;2;31;False
2022-01-23;4;87;2;1;34;False
2022-01-30;4;94;0;2;39;False
2022-02-06;3;87;1;2;39;False
2022-02-13;3;81;1;2;39;False
2022-02-20;3;82;2;2;40;False
2022-02-27;3;74;1;2;35;False
2022-03-06;3;78;1;2;37;False
2022-03-13;2;74;2;2;36;False
2022-03-20;3;79;2;1;36;False
2022-03-27;5;72;1;2;38;False
2022-04-03;6;76;2;2;35;False
2022-04-10;3;72;2;0;30;False
2022-04-17;3;71;1;1;33;False
2022-04-24;3;72;2;0;34;False
2022-05-01;4;75;0;1;35;False
2022-05-08;5;83;1;1;36;False
2022-05-15;3;74;0;2;38;False
2022-05-22;10;75;1;0;36;False
2022-05-29;25;67;1;1;36;False
2022-06-05;13;75;1;2;41;False
2022-06-12;10;70;1;2;35;False
2022-06-19;5;69;2;1;33;False
2022-06-26;2;79;1;1;35;False
2022-07-03;4;78;1;1;37;False
2022-07-10;3;76;1;0;39;False
2022-07-17;4;69;1;1;37;False
2022-07-24;5;82;1;1;37;False
2022-07-31;8;80;1;0;33;False
2022-08-07;3;74;1;1;32;False
2022-08-14;4;75;1;1;31;False
2022-08-21;2;81;1;1;27;False
2022-08-28;5;83;1;1;30;False
2022-09-04;3;83;2;1;32;False
2022-09-11;5;83;1;0;28;False
2022-09-18;4;79;1;1;28;False
2022-09-25;4;89;2;1;28;False
2022-10-02;3;85;1;1;27;False
2022-10-09;3;93;1;1;26;False
2022-10-16;3;83;1;1;23;False
2022-10-23;3;76;0;1;22;False
2022-10-30;7;81;1;1;21;False
2022-11-06;2;81;1;1;24;False
2022-11-13;3;78;0;1;20;False
2022-11-20;2;69;1;1;25;False
2022-11-27;2;72;2;2;25;False
2022-12-04;1;60;1;0;21;False
2022-12-11;3;63;1;1;22;False
2022-12-18;2;61;1;1;20;False
2022-12-25;5;62;1;1;27;False
2023-01-01;4;93;1;1;31;False
2023-01-08;4;86;1;1;29;False
2023-01-15;4;92;1;1;28;False
2023-01-22;3;86;1;1;26;False
2023-01-29;4;83;2;1;28;False
