date;Party funding;Simone de Beauvoir;Yemen;wages;air travel;isPartial
2022-01-02;0;1;21;88;26;False
2022-01-09;1;2;18;85;29;False
2022-01-16;0;2;29;80;23;False
2022-01-23;1;2;29;79;25;False
2022-01-30;1;2;22;100;28;False
2022-02-06;2;1;17;75;28;False
2022-02-13;0;2;19;68;28;False
2022-02-20;2;2;28;68;29;False
2022-02-27;1;1;48;70;25;False
2022-03-06;1;2;54;74;27;False
2022-03-13;1;2;55;72;26;False
2022-03-20;1;3;44;82;26;False
2022-03-27;0;2;29;93;27;False
2022-04-03;1;2;25;77;25;False
2022-04-10;1;1;23;63;22;False
2022-04-17;1;1;23;69;24;False
2022-04-24;1;2;21;78;25;False
2022-05-01;1;2;19;68;26;False
2022-05-08;0;2;20;74;26;False
2022-05-15;1;1;19;72;27;False
2022-05-22;1;1;19;80;26;False
2022-05-29;0;1;16;69;26;False
2022-06-05;0;2;16;69;29;False
2022-06-12;1;1;29;70;26;False
2022-06-19;1;1;15;80;24;False
2022-06-26;0;1;15;77;26;False
2022-07-03;1;2;15;75;27;False
2022-07-10;0;1;17;65;28;False
2022-07-17;0;1;18;71;27;False
2022-07-24;1;1;15;81;26;False
2022-07-31;1;2;14;81;24;False
2022-08-07;0;1;24;77;23;False
2022-08-14;0;2;17;75;23;False
2022-08-21;0;1;19;78;20;False
2022-08-28;0;1;16;77;22;False
2022-09-04;0;0;21;68;23;False
2022-09-11;0;2;15;66;20;False
2022-09-18;1;1;13;67;19;False
2022-09-25;1;1;17;70;20;False
2022-10-02;0;1;17;68;19;False
2022-10-09;1;2;17;70;18;False
2022-10-16;1;1;18;68;17;False
2022-10-23;0;1;15;67;16;False
2022-10-30;1;1;14;65;16;False
2022-11-06;1;1;19;69;17;False
2022-11-13;1;1;18;74;15;False
2022-11-20;0;2;16;66;18;False
2022-11-27;1;2;16;63;18;False
2022-12-04;0;1;14;59;15;False
2022-12-11;0;2;17;62;16;False
2022-12-18;1;1;19;71;15;False
2022-12-25;0;1;18;54;19;False
2023-01-01;0;2;21;74;23;False
2023-01-08;0;2;20;77;21;False
2023-01-15;1;3;16;76;20;False
2023-01-22;0;2;18;83;19;False
2023-01-29;1;2;18;84;20;False
