date;First past the post;Dennis Potter;Maryland;Cabaret;air travel;isPartial
2023-01-01;3;5;34;100;26;False
2023-01-02;2;0;25;38;31;False
2023-01-03;2;3;32;50;20;False
2023-01-04;0;0;13;42;30;False
2023-01-05;6;3;27;36;25;False
2023-01-06;2;3;30;32;25;False
2023-01-07;0;0;26;43;18;False
2023-01-08;0;0;27;41;29;False
2023-01-09;0;2;25;38;17;False
2023-01-10;0;0;19;48;27;False
2023-01-11;0;0;23;37;30;False
2023-01-12;2;0;17;32;25;False
2023-01-13;0;0;28;34;20;False
2023-01-14;0;2;21;31;19;False
2023-01-15;0;0;19;27;22;False
2023-01-16;5;3;24;29;23;False
2023-01-17;0;0;34;41;19;False
2023-01-18;3;0;23;31;27;False
2023-01-19;3;0;18;33;25;False
2023-01-20;0;6;21;50;20;False
2023-01-21;0;0;26;45;21;False
2023-01-22;0;0;25;41;24;False
2023-01-23;7;0;29;32;24;False
2023-01-24;0;3;24;32;19;False
2023-01-25;2;2;31;33;25;False
2023-01-26;0;0;19;27;23;False
2023-01-27;0;4;31;39;16;False
2023-01-28;0;0;21;53;22;False
2023-01-29;2;3;23;41;20;False
2023-01-30;0;0;26;29;34;False
2023-01-31;3;0;26;34;28;False
