date;Zimbabwe;International Space Station;alabama;Greek food and drink;air travel;isPartial
2022-01-02;38;3;27;0;20;False
2022-01-09;59;6;37;1;23;False
2022-01-16;51;5;25;0;17;False
2022-01-23;40;4;26;0;19;False
2022-01-30;39;4;27;0;21;False
2022-02-06;39;3;23;0;21;False
2022-02-13;37;2;23;0;21;False
2022-02-20;41;5;26;0;22;False
2022-02-27;37;4;30;0;19;False
2022-03-06;39;4;29;0;20;False
2022-03-13;44;5;21;0;20;False
2022-03-20;47;6;21;0;19;False
2022-03-27;47;4;23;0;21;False
2022-04-03;39;3;29;0;19;False
2022-04-10;37;4;30;0;16;False
2022-04-17;40;3;25;0;18;False
2022-04-24;40;3;27;0;19;False
2022-05-01;42;2;33;0;19;False
2022-05-08;40;2;30;0;20;False
2022-05-15;35;4;22;0;21;False
2022-05-22;41;3;29;0;19;False
2022-05-29;39;2;26;0;20;False
2022-06-05;47;2;24;0;22;False
2022-06-12;46;2;25;0;20;False
2022-06-19;35;2;26;0;18;False
2022-06-26;37;2;27;0;19;False
2022-07-03;36;3;28;0;20;False
2022-07-10;42;5;35;0;21;False
2022-07-17;42;6;28;0;20;False
2022-07-24;47;4;29;0;20;False
2022-07-31;59;3;29;0;18;False
2022-08-07;58;5;36;0;17;False
2022-08-14;69;3;29;0;17;False
2022-08-21;65;3;30;0;15;False
2022-08-28;55;4;23;0;16;False
2022-09-04;37;3;29;0;18;False
2022-09-11;37;3;25;0;15;False
2022-09-18;35;4;24;0;15;False
2022-09-25;40;3;26;0;15;False
2022-10-02;33;4;29;0;14;False
2022-10-09;37;4;31;0;14;False
2022-10-16;53;3;32;0;13;False
2022-10-23;100;4;27;0;12;False
2022-10-30;59;3;27;0;12;False
2022-11-06;78;3;29;0;13;False
2022-11-13;41;2;28;0;11;False
2022-11-20;38;3;20;0;14;False
2022-11-27;40;2;21;0;13;False
2022-12-04;36;3;20;0;11;False
2022-12-11;35;3;20;0;12;False
2022-12-18;39;4;21;0;11;False
2022-12-25;39;3;31;0;15;False
2023-01-01;38;3;28;0;17;False
2023-01-08;42;1;25;0;16;False
2023-01-15;48;4;27;0;15;False
2023-01-22;44;4;24;0;14;False
2023-01-29;46;3;26;0;15;False
