date;amy winehouse;bosnia;Benin;Qantas;air travel;isPartial
2022-01-02;64;29;21;41;59;False
2022-01-09;72;40;27;42;68;False
2022-01-16;65;32;22;44;51;False
2022-01-23;66;32;25;34;56;False
2022-01-30;63;33;26;33;64;False
2022-02-06;67;44;23;52;63;False
2022-02-13;61;35;25;45;64;False
2022-02-20;60;60;25;53;65;False
2022-02-27;54;63;26;46;57;False
2022-03-06;59;49;23;44;60;False
2022-03-13;55;53;24;42;59;False
2022-03-20;94;55;24;48;58;False
2022-03-27;67;46;23;48;62;False
2022-04-03;62;42;38;45;57;False
2022-04-10;59;44;21;36;49;False
2022-04-17;54;41;19;36;54;False
2022-04-24;47;37;25;34;56;False
2022-05-01;53;53;25;70;58;False
2022-05-08;69;40;25;40;59;False
2022-05-15;91;48;22;37;62;False
2022-05-22;56;40;25;37;58;False
2022-05-29;61;45;24;46;59;False
2022-06-05;53;79;27;42;66;False
2022-06-12;66;45;22;45;60;False
2022-06-19;75;41;21;47;54;False
2022-06-26;76;38;26;53;58;False
2022-07-03;69;41;22;52;61;False
2022-07-10;71;45;25;55;63;False
2022-07-17;93;40;17;53;60;False
2022-07-24;76;42;20;49;60;False
2022-07-31;55;40;20;42;53;False
2022-08-07;62;55;28;52;52;False
2022-08-14;68;33;17;43;51;False
2022-08-21;53;37;23;56;45;False
2022-08-28;53;36;19;49;49;False
2022-09-04;48;43;23;43;53;False
2022-09-11;54;39;24;48;46;False
2022-09-18;52;46;25;46;45;False
2022-09-25;51;76;22;44;45;False
2022-10-02;49;73;29;50;43;False
2022-10-09;50;40;27;44;42;False
2022-10-16;50;35;26;43;38;False
2022-10-23;56;36;19;48;35;False
2022-10-30;47;32;27;42;35;False
2022-11-06;54;38;27;44;39;False
2022-11-13;50;33;24;37;33;False
2022-11-20;41;34;20;39;41;False
2022-11-27;43;34;27;44;40;False
2022-12-04;38;31;23;35;34;False
2022-12-11;41;35;26;38;35;False
2022-12-18;51;30;23;69;33;False
2022-12-25;56;36;40;59;44;False
2023-01-01;47;36;24;56;51;False
2023-01-08;61;36;28;51;47;False
2023-01-15;100;36;24;58;46;False
2023-01-22;83;31;25;50;42;False
2023-01-29;54;34;28;49;45;False
