date;Race & religion;Ryan Reynolds;Mississippi;JFK airport;air travel;isPartial
2022-01-02;0;26;6;2;10;False
2022-01-09;0;16;7;2;11;False
2022-01-16;0;14;7;2;8;False
2022-01-23;0;14;7;2;9;False
2022-01-30;0;13;6;3;10;False
2022-02-06;0;13;7;2;11;False
2022-02-13;0;17;6;2;11;False
2022-02-20;0;12;6;2;11;False
2022-02-27;0;17;6;2;9;False
2022-03-06;0;29;6;2;10;False
2022-03-13;0;36;6;2;10;False
2022-03-20;0;28;6;2;10;False
2022-03-27;0;27;6;2;10;False
2022-04-03;0;27;6;2;9;False
2022-04-10;0;24;5;2;8;False
2022-04-17;0;20;6;2;9;False
2022-04-24;0;15;5;2;9;False
2022-05-01;0;31;8;2;10;False
2022-05-08;0;23;7;2;10;False
2022-05-15;0;22;6;2;10;False
2022-05-22;0;32;6;2;10;False
2022-05-29;0;24;6;2;10;False
2022-06-05;0;15;9;2;11;False
2022-06-12;0;17;6;2;10;False
2022-06-19;0;13;6;2;9;False
2022-06-26;0;14;7;2;10;False
2022-07-03;0;11;7;2;10;False
2022-07-10;0;11;7;2;10;False
2022-07-17;0;16;8;2;10;False
2022-07-24;0;18;6;2;10;False
2022-07-31;0;16;6;2;9;False
2022-08-07;0;18;5;2;9;False
2022-08-14;0;17;6;2;8;False
2022-08-21;0;33;6;2;7;False
2022-08-28;0;29;11;2;8;False
2022-09-04;0;24;9;2;9;False
2022-09-11;0;31;6;3;8;False
2022-09-18;0;24;6;2;7;False
2022-09-25;0;27;6;2;8;False
2022-10-02;0;22;6;2;7;False
2022-10-09;0;23;7;2;7;False
2022-10-16;0;20;6;2;6;False
2022-10-23;0;20;6;2;6;False
2022-10-30;0;17;6;2;6;False
2022-11-06;0;26;7;2;7;False
2022-11-13;0;27;6;2;5;False
2022-11-20;0;24;5;2;7;False
2022-11-27;0;23;6;2;7;False
2022-12-04;0;25;5;2;6;False
2022-12-11;0;23;6;2;6;False
2022-12-18;0;28;6;3;5;False
2022-12-25;0;26;7;3;7;False
2023-01-01;0;23;6;3;8;False
2023-01-08;0;21;6;2;8;False
2023-01-15;0;12;6;8;8;False
2023-01-22;0;16;6;2;7;False
2023-01-29;0;100;7;2;8;False
