date;Andrew Forrest;Queen Elizabeth II;Berlin film festival 2022;pfizer-biontech vaccine;air travel;isPartial
2023-01-01;0;39;0;0;76;False
2023-01-02;0;30;0;0;90;False
2023-01-03;7;36;0;0;59;False
2023-01-04;6;32;17;0;89;False
2023-01-05;0;29;6;0;73;False
2023-01-06;0;38;0;0;73;False
2023-01-07;0;28;0;0;53;False
2023-01-08;0;34;0;0;84;False
2023-01-09;0;21;0;0;50;False
2023-01-10;0;26;0;0;79;False
2023-01-11;9;22;0;0;90;False
2023-01-12;0;39;0;0;75;False
2023-01-13;7;19;0;0;60;False
2023-01-14;13;31;7;0;56;False
2023-01-15;0;19;21;0;66;False
2023-01-16;0;36;0;0;68;False
2023-01-17;0;33;16;0;56;False
2023-01-18;5;27;0;0;80;False
2023-01-19;0;28;15;0;73;False
2023-01-20;0;31;0;0;59;False
2023-01-21;0;21;0;0;63;False
2023-01-22;0;32;6;0;70;False
2023-01-23;0;10;0;0;72;False
2023-01-24;6;9;5;0;55;False
2023-01-25;9;32;0;0;75;False
2023-01-26;5;6;0;0;68;False
2023-01-27;0;10;7;0;47;False
2023-01-28;9;18;0;0;66;False
2023-01-29;5;27;0;0;60;False
2023-01-30;0;14;27;0;100;False
2023-01-31;0;24;0;0;84;False
