date;world war two;brexit;Drug resistance;Income inequality;air travel;isPartial
2022-01-02;4;91;1;1;20;False
2022-01-09;3;85;0;2;22;False
2022-01-16;3;81;1;1;17;False
2022-01-23;4;79;0;2;19;False
2022-01-30;3;93;0;1;21;False
2022-02-06;3;82;1;2;21;False
2022-02-13;3;69;0;2;21;False
2022-02-20;5;68;1;1;22;False
2022-02-27;4;60;1;2;19;False
2022-03-06;4;60;0;2;20;False
2022-03-13;3;67;1;3;20;False
2022-03-20;3;74;1;2;19;False
2022-03-27;3;62;0;2;21;False
2022-04-03;3;57;0;2;19;False
2022-04-10;2;59;1;2;16;False
2022-04-17;3;59;1;2;18;False
2022-04-24;3;65;1;2;19;False
2022-05-01;3;65;1;2;19;False
2022-05-08;3;72;1;2;20;False
2022-05-15;2;73;0;2;21;False
2022-05-22;3;63;1;2;19;False
2022-05-29;3;62;0;1;20;False
2022-06-05;4;70;0;2;22;False
2022-06-12;3;73;0;1;19;False
2022-06-19;3;74;1;1;18;False
2022-06-26;2;69;0;1;19;False
2022-07-03;2;100;0;1;20;False
2022-07-10;2;86;0;1;21;False
2022-07-17;2;68;0;0;20;False
2022-07-24;2;68;0;0;20;False
2022-07-31;2;61;0;1;18;False
2022-08-07;2;61;0;0;17;False
2022-08-14;2;51;0;1;17;False
2022-08-21;3;56;1;0;15;False
2022-08-28;2;63;0;0;16;False
2022-09-04;3;63;0;1;18;False
2022-09-11;3;51;0;0;15;False
2022-09-18;4;51;0;1;15;False
2022-09-25;4;58;0;1;15;False
2022-10-02;3;51;0;1;14;False
2022-10-09;3;56;1;1;14;False
2022-10-16;2;77;0;1;13;False
2022-10-23;3;73;0;1;12;False
2022-10-30;4;65;1;1;12;False
2022-11-06;5;59;0;2;13;False
2022-11-13;3;65;1;2;11;False
2022-11-20;3;65;0;1;14;False
2022-11-27;4;55;0;2;13;False
2022-12-04;2;50;0;1;11;False
2022-12-11;3;51;1;1;12;False
2022-12-18;2;49;0;0;11;False
2022-12-25;2;51;0;0;14;False
2023-01-01;3;59;0;1;17;False
2023-01-08;2;53;0;1;16;False
2023-01-15;4;54;1;1;15;False
2023-01-22;3;53;0;2;14;False
2023-01-29;3;79;1;1;15;False
