date;University of St Andrews;star trek;Breastfeeding;terrorism;air travel;isPartial
2023-01-01;2;43;46;7;9;False
2023-01-02;1;40;42;6;11;False
2023-01-03;2;33;47;10;7;False
2023-01-04;1;36;46;9;11;False
2023-01-05;0;38;42;10;9;False
2023-01-06;2;34;44;5;9;False
2023-01-07;1;34;38;6;6;False
2023-01-08;0;37;45;7;10;False
2023-01-09;4;33;40;7;6;False
2023-01-10;1;37;39;9;9;False
2023-01-11;2;48;42;12;11;False
2023-01-12;2;38;45;9;9;False
2023-01-13;2;33;41;10;7;False
2023-01-14;1;38;41;4;7;False
2023-01-15;2;40;43;6;8;False
2023-01-16;3;29;40;12;8;False
2023-01-17;3;48;38;10;7;False
2023-01-18;2;32;43;10;10;False
2023-01-19;4;33;40;9;9;False
2023-01-20;4;30;41;11;7;False
2023-01-21;1;100;40;9;8;False
2023-01-22;2;50;48;6;8;False
2023-01-23;3;37;49;11;9;False
2023-01-24;1;33;48;8;7;False
2023-01-25;2;35;41;10;9;False
2023-01-26;2;32;38;11;8;False
2023-01-27;3;33;43;11;6;False
2023-01-28;1;33;44;5;8;False
2023-01-29;2;45;34;4;7;False
2023-01-30;0;53;43;13;12;False
2023-01-31;2;35;42;8;10;False
