date;Rugby Football Union;Utah Jazz;Zoos;Quantitative easing;air travel;isPartial
2023-01-01;16;29;39;19;76;False
2023-01-02;0;0;42;5;90;False
2023-01-03;0;11;32;7;59;False
2023-01-04;0;0;40;0;89;False
2023-01-05;0;5;33;0;73;False
2023-01-06;18;20;25;0;73;False
2023-01-07;29;0;36;5;53;False
2023-01-08;33;39;29;0;84;False
2023-01-09;5;11;43;14;50;False
2023-01-10;11;0;27;8;79;False
2023-01-11;11;5;25;21;90;False
2023-01-12;7;0;35;22;75;False
2023-01-13;27;0;33;18;60;False
2023-01-14;48;0;25;13;56;False
2023-01-15;0;0;31;12;66;False
2023-01-16;10;8;44;5;68;False
2023-01-17;9;0;33;35;56;False
2023-01-18;7;0;29;0;80;False
2023-01-19;9;23;22;8;73;False
2023-01-20;19;0;37;9;59;False
2023-01-21;44;22;37;9;63;False
2023-01-22;33;0;44;7;70;False
2023-01-23;12;11;53;0;72;False
2023-01-24;9;6;50;9;55;False
2023-01-25;8;10;31;13;75;False
2023-01-26;6;11;43;0;68;False
2023-01-27;18;0;38;7;47;False
2023-01-28;42;0;31;0;66;False
2023-01-29;25;0;59;10;60;False
2023-01-30;11;15;37;6;100;False
2023-01-31;8;5;48;8;84;False
