date;Bristol Old Vic;Human Genome Project;Greta Thunberg;Chocolate;air travel;isPartial
2022-01-02;0;0;1;55;2;False
2022-01-09;0;0;1;52;2;False
2022-01-16;0;0;1;53;1;False
2022-01-23;0;0;1;54;1;False
2022-01-30;1;0;1;62;2;False
2022-02-06;0;0;1;57;2;False
2022-02-13;0;0;1;57;2;False
2022-02-20;0;0;1;56;2;False
2022-02-27;0;0;1;52;1;False
2022-03-06;0;0;1;58;2;False
2022-03-13;0;0;1;52;2;False
2022-03-20;0;0;1;62;1;False
2022-03-27;0;0;1;58;2;False
2022-04-03;0;0;1;59;1;False
2022-04-10;0;0;1;72;1;False
2022-04-17;0;0;0;53;1;False
2022-04-24;0;0;1;45;1;False
2022-05-01;0;0;1;50;1;False
2022-05-08;0;0;1;43;2;False
2022-05-15;0;0;1;43;2;False
2022-05-22;0;0;0;43;2;False
2022-05-29;0;0;0;49;2;False
2022-06-05;0;0;1;43;2;False
2022-06-12;0;0;0;47;1;False
2022-06-19;0;0;1;43;1;False
2022-06-26;0;0;2;44;1;False
2022-07-03;0;0;1;51;2;False
2022-07-10;0;0;1;44;2;False
2022-07-17;0;0;1;40;2;False
2022-07-24;0;0;1;46;2;False
2022-07-31;0;0;1;40;1;False
2022-08-07;0;0;1;44;1;False
2022-08-14;0;0;0;41;1;False
2022-08-21;0;0;1;43;1;False
2022-08-28;0;0;1;45;1;False
2022-09-04;0;0;1;46;1;False
2022-09-11;0;0;1;49;1;False
2022-09-18;0;0;1;50;1;False
2022-09-25;0;0;1;54;1;False
2022-10-02;0;0;1;57;1;False
2022-10-09;0;0;1;58;1;False
2022-10-16;0;0;2;59;1;False
2022-10-23;0;0;1;60;1;False
2022-10-30;0;0;4;62;1;False
2022-11-06;0;0;2;64;1;False
2022-11-13;0;0;1;72;1;False
2022-11-20;0;0;1;72;1;False
2022-11-27;0;0;1;85;1;False
2022-12-04;0;0;1;82;1;False
2022-12-11;0;0;1;91;1;False
2022-12-18;0;0;1;100;1;False
2022-12-25;0;0;16;63;1;False
2023-01-01;0;0;5;52;1;False
2023-01-08;0;0;2;51;1;False
2023-01-15;0;0;7;55;1;False
2023-01-22;0;0;2;52;1;False
2023-01-29;0;0;2;56;1;False
