date;South Australian politics;Wildlife photographer of the year;Gary Oldman;Andrew Forrest;air travel;isPartial
2022-01-02;0;3;100;1;52;False
2022-01-09;0;5;28;0;60;False
2022-01-16;0;7;25;0;45;False
2022-01-23;0;4;55;1;49;False
2022-01-30;0;8;27;1;57;False
2022-02-06;0;9;16;0;56;False
2022-02-13;0;8;17;1;57;False
2022-02-20;0;6;14;0;57;False
2022-02-27;0;4;17;1;50;False
2022-03-06;0;5;21;1;53;False
2022-03-13;0;5;18;0;52;False
2022-03-20;0;4;26;1;51;False
2022-03-27;0;4;75;1;54;False
2022-04-03;0;5;33;0;50;False
2022-04-10;0;5;34;0;43;False
2022-04-17;0;3;29;2;47;False
2022-04-24;0;3;28;1;49;False
2022-05-01;0;4;27;1;51;False
2022-05-08;0;3;19;0;52;False
2022-05-15;0;5;18;1;54;False
2022-05-22;0;4;20;1;51;False
2022-05-29;0;5;30;0;52;False
2022-06-05;0;2;23;0;58;False
2022-06-12;0;2;17;0;53;False
2022-06-19;0;2;19;0;47;False
2022-06-26;0;1;15;0;51;False
2022-07-03;0;1;10;1;54;False
2022-07-10;0;2;11;0;56;False
2022-07-17;0;0;15;2;53;False
2022-07-24;0;1;16;0;52;False
2022-07-31;0;3;17;1;47;False
2022-08-07;0;1;22;1;46;False
2022-08-14;0;2;19;1;45;False
2022-08-21;0;2;18;0;39;False
2022-08-28;0;11;20;0;43;False
2022-09-04;0;2;16;0;47;False
2022-09-11;0;2;19;1;41;False
2022-09-18;0;3;18;0;40;False
2022-09-25;0;3;14;0;40;False
2022-10-02;0;2;22;0;38;False
2022-10-09;0;26;22;0;37;False
2022-10-16;0;8;21;0;33;False
2022-10-23;0;6;19;0;31;False
2022-10-30;0;8;20;0;31;False
2022-11-06;0;7;41;1;35;False
2022-11-13;0;5;33;5;29;False
2022-11-20;0;4;26;0;36;False
2022-11-27;0;6;30;2;35;False
2022-12-04;0;8;41;1;30;False
2022-12-11;0;5;32;1;31;False
2022-12-18;0;6;41;1;29;False
2022-12-25;0;7;39;1;39;False
2023-01-01;0;8;44;1;45;False
2023-01-08;0;8;29;0;41;False
2023-01-15;0;7;34;1;41;False
2023-01-22;0;5;26;0;37;False
2023-01-29;0;7;20;1;40;False
