date;Law (US);Las Vegas Raiders;Jeremy Renner;berlin;air travel;isPartial
2023-01-01;0;1;1;16;2;False
2023-01-02;0;1;100;17;2;False
2023-01-03;1;0;86;15;1;False
2023-01-04;1;0;74;16;2;False
2023-01-05;1;0;34;16;2;False
2023-01-06;1;0;20;15;2;False
2023-01-07;0;0;14;16;1;False
2023-01-08;1;0;9;17;2;False
2023-01-09;1;0;5;16;1;False
2023-01-10;1;0;5;17;2;False
2023-01-11;0;0;4;15;2;False
2023-01-12;1;0;8;16;2;False
2023-01-13;1;0;12;14;1;False
2023-01-14;1;0;14;15;1;False
2023-01-15;0;1;12;15;2;False
2023-01-16;1;0;8;17;2;False
2023-01-17;0;0;12;15;1;False
2023-01-18;1;0;9;16;2;False
2023-01-19;1;0;9;15;2;False
2023-01-20;1;0;7;17;1;False
2023-01-21;0;0;12;20;1;False
2023-01-22;0;0;13;18;2;False
2023-01-23;1;0;6;17;2;False
2023-01-24;1;0;3;17;1;False
2023-01-25;1;0;4;19;2;False
2023-01-26;1;0;3;16;2;False
2023-01-27;1;0;10;15;1;False
2023-01-28;1;0;8;17;2;False
2023-01-29;1;0;3;16;1;False
2023-01-30;1;0;2;16;2;False
2023-01-31;0;0;2;18;2;False
