date;Spanish food and drink;Barbara Hepworth;Shami Chakrabarti;Dresses;air travel;isPartial
2023-01-01;0;0;0;71;3;False
2023-01-02;0;1;0;75;3;False
2023-01-03;0;0;0;66;2;False
2023-01-04;0;0;0;64;3;False
2023-01-05;0;1;0;70;3;False
2023-01-06;0;0;0;69;3;False
2023-01-07;0;0;0;84;2;False
2023-01-08;0;0;0;94;3;False
2023-01-09;0;0;0;74;2;False
2023-01-10;0;0;0;76;3;False
2023-01-11;0;0;0;77;3;False
2023-01-12;0;1;0;76;3;False
2023-01-13;0;1;0;75;2;False
2023-01-14;0;1;0;97;2;False
2023-01-15;0;0;0;94;2;False
2023-01-16;0;1;0;78;2;False
2023-01-17;0;0;0;78;2;False
2023-01-18;0;0;0;74;3;False
2023-01-19;0;0;0;72;3;False
2023-01-20;0;0;0;73;2;False
2023-01-21;0;0;0;100;2;False
2023-01-22;0;0;0;96;2;False
2023-01-23;0;1;0;84;2;False
2023-01-24;0;0;1;78;2;False
2023-01-25;0;0;0;77;3;False
2023-01-26;0;1;0;73;2;False
2023-01-27;0;0;0;76;2;False
2023-01-28;0;0;0;89;2;False
2023-01-29;0;0;0;94;2;False
2023-01-30;0;0;0;81;3;False
2023-01-31;0;1;0;81;3;False
