date;Nottingham;hampshire;Avalanches;John Darwin canoe disappearance;air travel;isPartial
2022-01-02;62;12;0;0;1;False
2022-01-09;69;12;0;0;2;False
2022-01-16;63;11;0;0;1;False
2022-01-23;67;12;0;0;1;False
2022-01-30;73;12;0;0;2;False
2022-02-06;81;14;0;0;2;False
2022-02-13;67;13;0;0;2;False
2022-02-20;66;12;0;0;2;False
2022-02-27;66;12;0;0;1;False
2022-03-06;71;12;0;0;1;False
2022-03-13;68;14;0;0;1;False
2022-03-20;73;12;0;0;1;False
2022-03-27;69;13;0;0;1;False
2022-04-03;66;12;0;0;1;False
2022-04-10;66;12;0;0;1;False
2022-04-17;61;12;0;0;1;False
2022-04-24;68;12;0;0;1;False
2022-05-01;75;13;0;0;1;False
2022-05-08;73;12;0;0;1;False
2022-05-15;88;12;0;0;1;False
2022-05-22;73;12;0;0;1;False
2022-05-29;100;12;0;0;1;False
2022-06-05;74;14;0;0;2;False
2022-06-12;71;12;0;0;1;False
2022-06-19;70;12;0;0;1;False
2022-06-26;72;12;0;0;1;False
2022-07-03;69;12;0;0;1;False
2022-07-10;71;14;0;0;2;False
2022-07-17;80;13;0;0;1;False
2022-07-24;79;13;0;0;1;False
2022-07-31;77;14;0;0;1;False
2022-08-07;80;14;0;0;1;False
2022-08-14;86;12;0;0;1;False
2022-08-21;74;13;0;0;1;False
2022-08-28;96;12;0;0;1;False
2022-09-04;66;12;0;0;1;False
2022-09-11;73;13;0;0;1;False
2022-09-18;66;12;0;0;1;False
2022-09-25;72;12;0;0;1;False
2022-10-02;78;10;0;0;1;False
2022-10-09;73;12;0;0;1;False
2022-10-16;73;10;0;0;1;False
2022-10-23;68;11;0;0;1;False
2022-10-30;73;11;0;0;1;False
2022-11-06;76;10;0;0;1;False
2022-11-13;65;9;0;0;1;False
2022-11-20;59;9;0;0;1;False
2022-11-27;60;9;0;0;1;False
2022-12-04;60;9;0;0;1;False
2022-12-11;61;10;0;0;1;False
2022-12-18;65;8;0;0;1;False
2022-12-25;66;8;0;0;1;False
2023-01-01;68;12;0;0;1;False
2023-01-08;69;13;0;0;1;False
2023-01-15;71;13;0;0;1;False
2023-01-22;78;12;0;0;1;False
2023-01-29;79;13;0;0;1;False
