date;birmingham;Social housing;naomi osaka;GB News;air travel;isPartial
2023-01-01;83;0;0;3;1;False
2023-01-02;95;1;0;3;1;False
2023-01-03;86;1;0;4;1;False
2023-01-04;83;1;0;3;1;False
2023-01-05;96;1;0;4;1;False
2023-01-06;83;1;0;3;1;False
2023-01-07;79;1;0;3;1;False
2023-01-08;78;1;2;4;1;False
2023-01-09;82;1;0;4;1;False
2023-01-10;71;1;0;3;1;False
2023-01-11;86;1;7;3;1;False
2023-01-12;88;1;4;4;1;False
2023-01-13;88;1;1;3;1;False
2023-01-14;91;1;1;3;1;False
2023-01-15;81;1;0;3;1;False
2023-01-16;90;1;0;3;1;False
2023-01-17;95;1;0;3;1;False
2023-01-18;91;1;0;3;1;False
2023-01-19;88;1;0;4;1;False
2023-01-20;83;1;0;3;1;False
2023-01-21;100;1;0;3;1;False
2023-01-22;83;1;0;3;1;False
2023-01-23;98;1;0;3;1;False
2023-01-24;86;1;0;3;1;False
2023-01-25;83;1;0;3;1;False
2023-01-26;86;2;0;4;1;False
2023-01-27;85;1;0;5;1;False
2023-01-28;95;1;0;3;1;False
2023-01-29;81;1;0;3;1;False
2023-01-30;87;1;0;3;1;False
2023-01-31;100;1;0;3;1;False
