date;Travel;Hezbollah;House prices;Geoffrey Cox;air travel;isPartial
2022-01-02;0;0;9;0;1;False
2022-01-09;0;0;9;0;1;False
2022-01-16;0;0;9;0;1;False
2022-01-23;0;0;10;0;1;False
2022-01-30;0;0;11;0;1;False
2022-02-06;0;0;11;0;1;False
2022-02-13;0;0;9;0;1;False
2022-02-20;0;0;10;0;1;False
2022-02-27;0;0;9;0;1;False
2022-03-06;0;0;9;0;1;False
2022-03-13;0;0;9;0;1;False
2022-03-20;0;0;11;0;1;False
2022-03-27;0;0;9;0;1;False
2022-04-03;98;0;10;0;1;False
2022-04-10;96;0;9;0;1;False
2022-04-17;89;0;9;0;1;False
2022-04-24;98;0;8;0;1;False
2022-05-01;100;0;10;0;1;False
2022-05-08;91;0;9;0;1;False
2022-05-15;96;0;9;0;1;False
2022-05-22;95;0;8;0;1;False
2022-05-29;96;0;8;0;1;False
2022-06-05;93;0;9;0;1;False
2022-06-12;87;0;10;0;1;False
2022-06-19;90;0;10;0;1;False
2022-06-26;90;0;11;0;1;False
2022-07-03;90;0;10;0;1;False
2022-07-10;88;0;9;0;1;False
2022-07-17;86;0;10;0;1;False
2022-07-24;91;0;10;0;1;False
2022-07-31;85;0;12;0;1;False
2022-08-07;80;0;10;0;1;False
2022-08-14;75;0;11;0;1;False
2022-08-21;81;0;11;0;1;False
2022-08-28;80;0;10;0;1;False
2022-09-04;78;0;8;0;1;False
2022-09-11;74;0;8;0;1;False
2022-09-18;73;0;9;0;1;False
2022-09-25;65;0;11;0;1;False
2022-10-02;63;0;10;0;1;False
2022-10-09;63;0;9;0;1;False
2022-10-16;60;0;8;0;1;False
2022-10-23;58;0;9;0;1;False
2022-10-30;56;0;9;0;1;False
2022-11-06;55;0;9;0;1;False
2022-11-13;55;0;7;0;1;False
2022-11-20;53;0;6;0;1;False
2022-11-27;52;0;6;0;1;False
2022-12-04;51;0;6;0;1;False
2022-12-11;54;0;6;0;1;False
2022-12-18;46;0;6;0;1;False
2022-12-25;58;0;9;0;1;False
2023-01-01;73;0;10;0;1;False
2023-01-08;74;0;10;0;1;False
2023-01-15;76;0;9;0;1;False
2023-01-22;66;0;9;0;1;False
2023-01-29;70;0;9;0;1;False
