date;Breakfast;Bus fares;Nick Cave;Bernie Sanders;air travel;isPartial
2023-01-01;97;3;2;0;3;False
2023-01-02;92;2;1;0;3;False
2023-01-03;74;3;1;0;2;False
2023-01-04;69;2;0;0;3;False
2023-01-05;68;1;1;0;3;False
2023-01-06;73;2;1;1;3;False
2023-01-07;89;1;1;0;2;False
2023-01-08;91;1;1;0;3;False
2023-01-09;66;1;1;0;2;False
2023-01-10;66;1;1;1;3;False
2023-01-11;63;1;2;0;3;False
2023-01-12;65;1;1;1;3;False
2023-01-13;68;1;1;0;2;False
2023-01-14;90;1;1;0;2;False
2023-01-15;91;1;1;0;2;False
2023-01-16;67;1;1;0;3;False
2023-01-17;68;1;3;1;2;False
2023-01-18;67;1;3;0;3;False
2023-01-19;67;2;2;0;3;False
2023-01-20;73;1;2;1;2;False
2023-01-21;100;1;2;1;2;False
2023-01-22;93;1;1;0;3;False
2023-01-23;66;1;2;0;3;False
2023-01-24;66;1;1;0;2;False
2023-01-25;76;1;1;0;3;False
2023-01-26;61;1;1;0;2;False
2023-01-27;70;1;1;0;2;False
2023-01-28;90;1;1;0;2;False
2023-01-29;99;1;1;0;2;False
2023-01-30;70;1;1;0;4;False
2023-01-31;67;1;1;0;3;False
