date;Capital punishment;nigeria;Tuition fees;Guardian Media Group;air travel;isPartial
2022-01-02;1;41;2;0;8;False
2022-01-09;2;84;2;0;9;False
2022-01-16;1;53;2;0;7;False
2022-01-23;1;70;2;0;7;False
2022-01-30;1;43;2;0;8;False
2022-02-06;2;39;2;0;8;False
2022-02-13;1;40;2;0;8;False
2022-02-20;1;45;2;0;9;False
2022-02-27;1;45;2;0;7;False
2022-03-06;1;43;2;0;8;False
2022-03-13;2;46;2;0;8;False
2022-03-20;1;98;2;0;8;False
2022-03-27;1;100;2;0;8;False
2022-04-03;1;42;1;0;7;False
2022-04-10;1;40;2;0;6;False
2022-04-17;1;41;2;0;7;False
2022-04-24;2;45;2;0;7;False
2022-05-01;1;42;2;0;8;False
2022-05-08;1;42;2;0;8;False
2022-05-15;2;43;3;0;8;False
2022-05-22;1;42;2;0;8;False
2022-05-29;1;47;2;0;8;False
2022-06-05;1;62;2;0;9;False
2022-06-12;1;51;2;0;8;False
2022-06-19;1;41;2;0;7;False
2022-06-26;1;39;2;0;8;False
2022-07-03;1;43;2;0;8;False
2022-07-10;1;43;2;0;8;False
2022-07-17;1;43;1;0;8;False
2022-07-24;1;42;1;0;8;False
2022-07-31;1;42;2;0;7;False
2022-08-07;1;44;2;0;7;False
2022-08-14;1;38;2;0;7;False
2022-08-21;1;37;4;0;6;False
2022-08-28;1;39;4;0;6;False
2022-09-04;1;40;3;0;7;False
2022-09-11;1;42;3;0;6;False
2022-09-18;1;40;3;0;6;False
2022-09-25;1;47;3;0;6;False
2022-10-02;1;40;2;0;6;False
2022-10-09;1;44;3;0;5;False
2022-10-16;1;49;2;0;5;False
2022-10-23;1;44;2;0;5;False
2022-10-30;1;47;2;0;5;False
2022-11-06;1;45;2;0;5;False
2022-11-13;1;70;2;0;4;False
2022-11-20;1;52;2;0;5;False
2022-11-27;1;48;2;0;5;False
2022-12-04;1;41;2;0;4;False
2022-12-11;1;40;1;0;5;False
2022-12-18;1;42;2;0;4;False
2022-12-25;0;43;1;0;6;False
2023-01-01;1;41;2;0;7;False
2023-01-08;1;42;2;0;6;False
2023-01-15;2;46;2;0;6;False
2023-01-22;1;48;2;0;6;False
2023-01-29;1;50;2;0;6;False
