date;uzbekistan;Alaska;Ben Okri;Sea level;air travel;isPartial
2022-01-02;14;70;1;19;32;False
2022-01-09;11;61;0;19;35;False
2022-01-16;10;63;0;21;28;False
2022-01-23;12;61;0;18;30;False
2022-01-30;12;61;1;17;34;False
2022-02-06;9;59;1;21;34;False
2022-02-13;12;75;0;21;34;False
2022-02-20;15;73;1;18;35;False
2022-02-27;15;74;0;16;31;False
2022-03-06;12;65;0;17;33;False
2022-03-13;17;100;0;16;32;False
2022-03-20;14;62;0;22;32;False
2022-03-27;14;59;0;18;33;False
2022-04-03;15;56;1;16;31;False
2022-04-10;14;52;1;14;26;False
2022-04-17;13;54;0;17;29;False
2022-04-24;10;49;0;18;30;False
2022-05-01;15;52;0;23;31;False
2022-05-08;14;53;0;21;32;False
2022-05-15;13;52;1;16;33;False
2022-05-22;13;64;1;19;32;False
2022-05-29;13;90;0;15;32;False
2022-06-05;16;75;0;16;36;False
2022-06-12;16;62;0;25;31;False
2022-06-19;12;59;0;14;29;False
2022-06-26;10;65;1;13;31;False
2022-07-03;18;74;1;15;33;False
2022-07-10;14;62;0;17;34;False
2022-07-17;12;64;0;18;33;False
2022-07-24;13;58;0;17;32;False
2022-07-31;13;54;0;15;29;False
2022-08-07;15;62;0;18;28;False
2022-08-14;15;65;0;14;28;False
2022-08-21;12;61;0;14;24;False
2022-08-28;13;71;0;21;27;False
2022-09-04;12;58;0;19;29;False
2022-09-11;15;56;0;15;25;False
2022-09-18;16;73;0;16;24;False
2022-09-25;15;75;0;17;25;False
2022-10-02;13;68;0;17;23;False
2022-10-09;15;65;0;19;23;False
2022-10-16;13;60;0;21;21;False
2022-10-23;13;58;0;17;19;False
2022-10-30;12;55;0;19;19;False
2022-11-06;12;70;1;22;21;False
2022-11-13;12;60;1;23;18;False
2022-11-20;13;58;0;17;22;False
2022-11-27;11;64;0;18;22;False
2022-12-04;10;55;1;19;19;False
2022-12-11;21;58;0;19;19;False
2022-12-18;13;75;0;15;18;False
2022-12-25;12;79;0;15;24;False
2023-01-01;12;81;0;17;28;False
2023-01-08;11;71;0;20;25;False
2023-01-15;15;72;0;21;25;False
2023-01-22;14;66;0;18;23;False
2023-01-29;11;67;1;18;25;False
