date;Balearic Islands holidays;Couriers/delivery industry;Sesame Street;Tax and spending;air travel;isPartial
2022-01-02;2;0;52;1;90;False
2022-01-09;2;0;49;2;98;False
2022-01-16;2;0;45;1;77;False
2022-01-23;4;0;45;0;84;False
2022-01-30;3;0;45;1;95;False
2022-02-06;3;0;40;0;96;False
2022-02-13;2;0;39;1;96;False
2022-02-20;2;0;40;1;98;False
2022-02-27;2;0;35;2;86;False
2022-03-06;4;0;50;1;90;False
2022-03-13;2;0;38;0;90;False
2022-03-20;0;0;39;2;88;False
2022-03-27;3;0;45;2;93;False
2022-04-03;2;0;36;1;85;False
2022-04-10;3;0;42;0;74;False
2022-04-17;3;0;35;2;82;False
2022-04-24;3;0;34;1;84;False
2022-05-01;5;0;40;3;87;False
2022-05-08;4;0;37;0;89;False
2022-05-15;3;0;41;1;93;False
2022-05-22;2;0;37;1;88;False
2022-05-29;2;0;40;1;90;False
2022-06-05;5;0;45;0;100;False
2022-06-12;3;0;43;0;87;False
2022-06-19;4;0;39;2;81;False
2022-06-26;1;0;39;0;87;False
2022-07-03;3;0;42;0;92;False
2022-07-10;2;0;36;0;95;False
2022-07-17;2;0;53;1;91;False
2022-07-24;3;0;45;1;90;False
2022-07-31;2;0;43;0;81;False
2022-08-07;3;0;41;1;78;False
2022-08-14;4;0;38;0;77;False
2022-08-21;1;0;45;2;67;False
2022-08-28;0;0;41;0;74;False
2022-09-04;3;0;39;0;80;False
2022-09-11;1;0;42;1;69;False
2022-09-18;1;0;41;0;66;False
2022-09-25;2;0;39;1;68;False
2022-10-02;3;0;41;0;65;False
2022-10-09;1;0;41;5;63;False
2022-10-16;1;0;39;1;57;False
2022-10-23;1;0;46;0;53;False
2022-10-30;1;0;47;3;53;False
2022-11-06;0;0;44;2;59;False
2022-11-13;1;0;36;2;50;False
2022-11-20;0;0;29;0;62;False
2022-11-27;2;0;35;3;61;False
2022-12-04;1;0;83;2;52;False
2022-12-11;1;0;44;2;53;False
2022-12-18;1;0;52;0;50;False
2022-12-25;2;0;40;0;66;False
2023-01-01;3;0;43;1;77;False
2023-01-08;4;0;31;0;71;False
2023-01-15;3;0;43;2;69;False
2023-01-22;2;0;45;3;64;False
2023-01-29;3;0;47;1;69;False
