date;Kirill Karabits;Sudan;Mark Hughes;Poland;air travel;isPartial
2022-01-02;0;19;4;100;19;False
2022-01-09;1;36;2;0;22;False
2022-01-16;0;28;2;0;17;False
2022-01-23;0;17;2;0;18;False
2022-01-30;0;15;2;0;21;False
2022-02-06;0;15;2;0;21;False
2022-02-13;0;16;2;0;21;False
2022-02-20;0;26;26;0;21;False
2022-02-27;0;19;6;0;19;False
2022-03-06;0;17;6;0;20;False
2022-03-13;0;15;4;0;19;False
2022-03-20;0;18;3;0;19;False
2022-03-27;0;19;3;0;20;False
2022-04-03;0;17;2;0;19;False
2022-04-10;0;17;4;0;16;False
2022-04-17;0;20;3;0;18;False
2022-04-24;0;18;6;0;18;False
2022-05-01;0;16;4;0;19;False
2022-05-08;0;16;5;0;19;False
2022-05-15;0;20;3;0;20;False
2022-05-22;0;16;3;0;19;False
2022-05-29;0;16;2;0;19;False
2022-06-05;0;18;2;0;22;False
2022-06-12;0;18;2;0;20;False
2022-06-19;0;16;2;0;18;False
2022-06-26;0;17;2;0;19;False
2022-07-03;0;16;1;0;20;False
2022-07-10;0;16;1;0;21;False
2022-07-17;0;17;2;0;20;False
2022-07-24;0;15;3;0;20;False
2022-07-31;0;13;3;0;17;False
2022-08-07;0;14;6;0;17;False
2022-08-14;0;14;3;0;17;False
2022-08-21;0;13;3;0;15;False
2022-08-28;0;14;4;0;16;False
2022-09-04;0;15;2;0;17;False
2022-09-11;0;15;2;0;15;False
2022-09-18;0;14;3;0;15;False
2022-09-25;0;17;2;0;15;False
2022-10-02;0;15;2;0;14;False
2022-10-09;0;16;2;0;14;False
2022-10-16;0;17;3;0;12;False
2022-10-23;0;20;2;0;12;False
2022-10-30;0;18;3;0;11;False
2022-11-06;0;19;3;0;13;False
2022-11-13;0;18;3;0;11;False
2022-11-20;0;17;2;0;14;False
2022-11-27;0;18;3;0;13;False
2022-12-04;0;17;2;0;11;False
2022-12-11;0;21;2;0;12;False
2022-12-18;0;17;1;0;11;False
2022-12-25;0;15;3;0;14;False
2023-01-01;0;25;3;0;17;False
2023-01-08;0;18;3;0;15;False
2023-01-15;0;25;3;0;15;False
2023-01-22;0;19;2;0;14;False
2023-01-29;0;19;16;0;15;False
