date;Surveillance;Marie Kondo;Sporting;Noodles;air travel;isPartial
2022-01-02;0;1;51;49;7;False
2022-01-09;0;1;48;46;8;False
2022-01-16;0;1;48;40;6;False
2022-01-23;0;1;63;44;6;False
2022-01-30;0;1;60;43;7;False
2022-02-06;0;1;60;37;7;False
2022-02-13;0;1;78;40;7;False
2022-02-20;0;1;59;45;7;False
2022-02-27;0;0;59;39;6;False
2022-03-06;0;1;78;40;7;False
2022-03-13;0;1;95;39;7;False
2022-03-20;0;1;56;36;7;False
2022-03-27;0;0;58;38;7;False
2022-04-03;0;1;78;34;6;False
2022-04-10;0;1;64;34;6;False
2022-04-17;0;1;70;33;6;False
2022-04-24;0;1;65;34;6;False
2022-05-01;0;1;65;39;7;False
2022-05-08;0;0;61;36;7;False
2022-05-15;0;1;59;38;7;False
2022-05-22;0;1;63;33;7;False
2022-05-29;0;1;64;35;7;False
2022-06-05;0;0;56;37;8;False
2022-06-12;0;1;70;35;7;False
2022-06-19;0;1;56;34;6;False
2022-06-26;0;0;55;33;7;False
2022-07-03;0;1;61;36;7;False
2022-07-10;0;0;59;35;7;False
2022-07-17;0;0;59;33;7;False
2022-07-24;0;1;77;37;7;False
2022-07-31;0;1;60;39;6;False
2022-08-07;0;1;64;35;6;False
2022-08-14;0;1;63;34;6;False
2022-08-21;0;1;71;38;5;False
2022-08-28;0;1;63;37;6;False
2022-09-04;0;0;69;39;6;False
2022-09-11;0;0;100;40;5;False
2022-09-18;0;1;60;38;5;False
2022-09-25;0;1;56;39;5;False
2022-10-02;0;1;72;37;5;False
2022-10-09;0;1;63;38;5;False
2022-10-16;0;1;65;35;4;False
2022-10-23;0;2;86;35;4;False
2022-10-30;0;1;69;36;4;False
2022-11-06;0;0;63;37;4;False
2022-11-13;0;1;62;34;4;False
2022-11-20;0;1;50;31;5;False
2022-11-27;0;1;57;32;5;False
2022-12-04;0;1;50;32;4;False
2022-12-11;0;1;44;32;4;False
2022-12-18;0;0;48;32;4;False
2022-12-25;0;1;72;32;5;False
2023-01-01;0;1;60;50;6;False
2023-01-08;0;1;59;45;5;False
2023-01-15;0;1;65;50;5;False
2023-01-22;0;4;66;55;5;False
2023-01-29;0;3;66;45;5;False
