date;Mahmoud Abbas;David Lammy;Chris Philp;Research;air travel;isPartial
2022-01-02;0;1;0;76;5;False
2022-01-09;0;0;0;91;6;False
2022-01-16;0;0;0;86;5;False
2022-01-23;0;1;0;89;5;False
2022-01-30;0;0;0;87;6;False
2022-02-06;0;2;1;83;6;False
2022-02-13;0;1;0;80;6;False
2022-02-20;0;1;0;86;6;False
2022-02-27;0;1;0;85;5;False
2022-03-06;0;1;0;91;5;False
2022-03-13;0;0;0;96;5;False
2022-03-20;0;0;0;81;5;False
2022-03-27;0;0;0;89;6;False
2022-04-03;0;0;0;84;5;False
2022-04-10;0;1;0;69;4;False
2022-04-17;0;1;0;83;5;False
2022-04-24;0;0;0;82;5;False
2022-05-01;0;1;0;97;5;False
2022-05-08;0;0;0;100;5;False
2022-05-15;0;0;0;85;6;False
2022-05-22;0;0;0;80;5;False
2022-05-29;0;0;0;60;5;False
2022-06-05;0;1;1;78;6;False
2022-06-12;0;1;0;71;5;False
2022-06-19;0;1;1;67;5;False
2022-06-26;0;2;0;63;5;False
2022-07-03;0;1;1;64;5;False
2022-07-10;0;0;0;63;6;False
2022-07-17;0;0;0;64;5;False
2022-07-24;0;0;0;62;5;False
2022-07-31;0;0;0;57;5;False
2022-08-07;0;0;0;59;5;False
2022-08-14;0;0;0;57;5;False
2022-08-21;0;0;0;55;4;False
2022-08-28;0;0;0;56;4;False
2022-09-04;0;1;1;66;5;False
2022-09-11;0;0;0;71;4;False
2022-09-18;0;0;1;70;4;False
2022-09-25;0;1;3;81;4;False
2022-10-02;0;0;3;82;4;False
2022-10-09;0;1;4;85;4;False
2022-10-16;0;0;1;88;3;False
2022-10-23;0;2;1;80;3;False
2022-10-30;0;1;2;85;3;False
2022-11-06;0;0;0;95;4;False
2022-11-13;0;0;0;96;3;False
2022-11-20;0;0;0;82;4;False
2022-11-27;0;0;0;87;4;False
2022-12-04;0;0;0;88;3;False
2022-12-11;0;0;0;74;3;False
2022-12-18;0;0;0;54;3;False
2022-12-25;0;0;0;38;4;False
2023-01-01;0;0;0;73;5;False
2023-01-08;0;1;0;88;4;False
2023-01-15;0;0;0;82;4;False
2023-01-22;0;1;1;86;4;False
2023-01-29;0;0;0;92;4;False
